verb,verb_compound,kaane,elus_cnt,mitteelus_cnt,root_cnt,isik
lööma,,all,213,34,858,vahel
andma,üle,all,285,28,856,alati
tabama,,ad,35,47,853,vahel
esindama,,in,20,38,850,mitte kunagi
avaldama,,el,133,31,849,vahel
koguma,,in,17,64,847,mitte kunagi
märkama,,in,36,85,845,mitte kunagi
mäletama,,el,73,29,844,vahel
kuuluma,,ad,32,40,843,vahel
teavitama,,el,31,17,842,mitte kunagi
valitsema,,ad,15,49,842,mitte kunagi
kahtlema,,in,24,17,841,mitte kunagi
ilmuma,,ad,50,29,840,vahel
õnnestuma,,in,20,61,840,mitte kunagi
suurenema,,in,27,72,839,mitte kunagi
toimima,,in,28,80,839,mitte kunagi
tooma,,adit,27,74,839,mitte kunagi
kujunema,,ad,89,43,836,mitte kunagi
vähenema,,in,24,72,834,mitte kunagi
meenutama,,in,17,60,833,mitte kunagi
teatama,,ad,31,37,833,mitte kunagi
panema,,adit,29,60,832,vahel
mööduma,,in,13,85,829,mitte kunagi
jätkama,,ad,14,40,827,mitte kunagi
laekuma,,all,92,46,826,vahel
mahtuma,,ill,17,54,822,mitte kunagi
avastama,,el,40,104,817,mitte kunagi
ajama,,in,26,77,815,mitte kunagi
korraldama,,ad,11,54,815,mitte kunagi
lugema,,in,25,68,815,mitte kunagi
kirjutama,alla,all,12,6,814,vahel
jätkuma,,el,62,30,810,vahel
alistama,,in,0,13,808,mitte kunagi
käima,läbi,el,58,69,803,vahel
sarnanema,,all,78,36,803,mitte kunagi
küsima,,in,15,61,802,mitte kunagi
muutma,,in,26,57,802,mitte kunagi
viima,,ad,33,44,798,mitte kunagi
üritama,,in,23,60,796,mitte kunagi
hoidma,,el,100,50,795,vahel
nägema,,all,113,57,791,vahel
pääsema,,ad,20,36,790,mitte kunagi
kinnitama,,ad,24,30,788,mitte kunagi
laulma,,in,21,63,788,mitte kunagi
piisama,,all,232,38,786,alati
meeldima,,in,30,57,785,mitte kunagi
müüma,,in,12,71,785,mitte kunagi
langema,,el,87,32,784,vahel
tegema,,adit,36,61,784,vahel
otsustama,,in,23,56,783,mitte kunagi
teenima,,ad,14,39,777,mitte kunagi
kasvama,,all,76,42,774,vahel
püüdma,,ad,17,36,772,mitte kunagi
ostma,,all,178,49,771,vahel
seisma,ees,ad,165,28,771,mitte kunagi
lööma,,ad,70,41,770,mitte kunagi
pääsema,,adit,27,76,770,mitte kunagi
kehtestama,,all,170,38,769,vahel
lahutama,,el,88,46,768,vahel
täitma,,in,27,52,768,mitte kunagi
saama,üle,el,29,21,766,vahel
heitma,ette,all,202,26,764,alati
mõjuma,,in,24,57,764,mitte kunagi
asetama,,all,69,40,763,mitte kunagi
jääma,välja,el,27,34,763,vahel
ilmnema,,ad,76,25,762,vahel
takistama,,ad,177,45,760,vahel
teenima,,el,150,23,760,vahel
lootma,,el,68,37,758,vahel
valmima,,ad,65,48,758,vahel
kujunema,,all,177,44,755,vahel
astuma,,adit,21,61,753,mitte kunagi
kogunema,,ill,24,69,753,mitte kunagi
vaatama,,ad,30,39,753,mitte kunagi
domineerima,,in,23,43,751,mitte kunagi
kinnitama,,el,124,28,751,vahel
soovima,,el,143,32,750,vahel
tähendama,,el,68,34,747,vahel
säilima,,in,32,66,743,mitte kunagi
toetama,,in,18,54,742,mitte kunagi
tegema,kaasa,in,23,21,741,mitte kunagi
nõudma,,ad,29,40,740,mitte kunagi
töötama,,el,151,36,740,vahel
jääma,alla,in,9,32,738,mitte kunagi
saabuma,,in,20,46,737,mitte kunagi
seisma,,el,90,56,737,vahel
tulema,välja,ad,86,23,735,vahel
nimetama,,el,146,26,734,vahel
