Collection,Experiment,Model,Source,Split,LAS
est_ud,gm_experiment_3,udpipe,test,2,83.57%
est_ud,gm_experiment_3,udpipe,train,3,90.66%
est_ud,gm_experiment_3,udpipe,test,3,84.20%
est_ud,gm_experiment_3,udpipe,train,4,90.51%
est_ud,gm_experiment_3,udpipe,test,4,83.92%
est_ud,gm_experiment_3,udpipe,train,5,89.86%
est_ud,gm_experiment_3,udpipe,test,5,83.76%
est_ud,gm_experiment_3,udpipe,train,6,90.69%
est_ud,gm_experiment_3,udpipe,test,6,84.01%
est_ud,gm_experiment_3,udpipe,train,7,90.37%
est_ud,gm_experiment_3,udpipe,test,7,83.60%
est_ud,gm_experiment_3,udpipe,train,8,90.92%
est_ud,gm_experiment_3,udpipe,test,8,84.68%
est_ud,gm_experiment_3,udpipe,train,9,90.05%
est_ud,gm_experiment_3,udpipe,test,9,83.74%
edt,gm_experiment_3,malt,train,0,92.90%
edt,gm_experiment_3,malt,test,0,85.60%
edt,gm_experiment_3,malt,train,1,92.90%
edt,gm_experiment_3,malt,test,1,85.60%
edt,gm_experiment_3,malt,train,2,93.00%
edt,gm_experiment_3,malt,test,2,83.90%
edt,gm_experiment_3,malt,train,3,92.90%
edt,gm_experiment_3,malt,test,3,86.10%
edt,gm_experiment_3,malt,train,4,92.90%
edt,gm_experiment_3,malt,test,4,85.00%
edt,gm_experiment_3,malt,train,5,92.90%
edt,gm_experiment_3,malt,test,5,85.90%
edt,gm_experiment_3,malt,train,6,92.90%
edt,gm_experiment_3,malt,test,6,85.30%
edt,gm_experiment_3,malt,train,7,93.00%
edt,gm_experiment_3,malt,test,7,84.50%
edt,gm_experiment_3,malt,train,8,93.00%
edt,gm_experiment_3,malt,test,8,85.10%
edt,gm_experiment_3,malt,train,9,93.10%
edt,gm_experiment_3,malt,test,9,84.00%
est_ud,gm_experiment_3,malt,train,0,93.80%
est_ud,gm_experiment_3,malt,test,0,81.60%
est_ud,gm_experiment_3,malt,train,1,93.70%
est_ud,gm_experiment_3,malt,test,1,81.30%
est_ud,gm_experiment_3,malt,train,2,93.80%
est_ud,gm_experiment_3,malt,test,2,81.50%
est_ud,gm_experiment_3,malt,train,3,93.70%
est_ud,gm_experiment_3,malt,test,3,81.40%
est_ud,gm_experiment_3,malt,train,4,93.70%
est_ud,gm_experiment_3,malt,test,4,81.30%
est_ud,gm_experiment_3,malt,train,5,93.80%
est_ud,gm_experiment_3,malt,test,5,81.60%
est_ud,gm_experiment_3,malt,train,6,93.80%
est_ud,gm_experiment_3,malt,test,6,81.60%
est_ud,gm_experiment_3,malt,train,7,93.70%
est_ud,gm_experiment_3,malt,test,7,80.70%
est_ud,gm_experiment_3,malt,train,8,93.80%
est_ud,gm_experiment_3,malt,test,8,81.20%
est_ud,gm_experiment_3,malt,train,9,93.80%
est_ud,gm_experiment_3,malt,test,9,81.30%
edt,am_experiment_3,udpipe,train,0,90.68%
edt,am_experiment_3,udpipe,test,0,84.63%
edt,am_experiment_3,udpipe,train,1,90.80%
edt,am_experiment_3,udpipe,test,1,84.08%
edt,am_experiment_3,udpipe,train,2,90.65%
edt,am_experiment_3,udpipe,test,2,85.08%
edt,am_experiment_3,udpipe,train,3,90.46%
edt,am_experiment_3,udpipe,test,3,84.21%
edt,am_experiment_3,udpipe,train,4,90.39%
edt,am_experiment_3,udpipe,test,4,84.45%
edt,am_experiment_3,udpipe,train,5,90.60%
edt,am_experiment_3,udpipe,test,5,84.18%
edt,am_experiment_3,udpipe,train,6,89.89%
edt,am_experiment_3,udpipe,test,6,83.15%
edt,am_experiment_3,udpipe,train,7,90.30%
edt,am_experiment_3,udpipe,test,7,83.48%
edt,am_experiment_3,udpipe,train,8,90.57%
edt,am_experiment_3,udpipe,test,8,83.76%
edt,am_experiment_3,udpipe,train,9,90.03%
edt,am_experiment_3,udpipe,test,9,84.06%
est_ud,am_experiment_3,udpipe,train,0,88.45%
est_ud,am_experiment_3,udpipe,test,0,81.87%
est_ud,am_experiment_3,udpipe,train,1,88.53%
est_ud,am_experiment_3,udpipe,test,1,81.83%
est_ud,am_experiment_3,udpipe,train,2,88.68%
est_ud,am_experiment_3,udpipe,test,2,81.92%
est_ud,am_experiment_3,udpipe,train,3,88.88%
est_ud,am_experiment_3,udpipe,test,3,82.00%
est_ud,am_experiment_3,udpipe,train,4,88.61%
est_ud,am_experiment_3,udpipe,test,4,81.73%
est_ud,am_experiment_3,udpipe,train,5,88.86%
est_ud,am_experiment_3,udpipe,test,5,82.02%
est_ud,am_experiment_3,udpipe,train,6,88.91%
est_ud,am_experiment_3,udpipe,test,6,81.77%
est_ud,am_experiment_3,udpipe,train,7,88.58%
est_ud,am_experiment_3,udpipe,test,7,82.01%
est_ud,am_experiment_3,udpipe,train,8,88.86%
est_ud,am_experiment_3,udpipe,test,8,82.21%
est_ud,am_experiment_3,udpipe,train,9,88.19%
est_ud,am_experiment_3,udpipe,test,9,81.45%
edt,am_experiment_3,malt,train,0,92.50%
edt,am_experiment_3,malt,test,0,84.40%
edt,am_experiment_3,malt,train,1,92.50%
edt,am_experiment_3,malt,test,1,83.80%
edt,am_experiment_3,malt,train,2,92.50%
edt,am_experiment_3,malt,test,2,84.80%
edt,am_experiment_3,malt,train,3,92.60%
edt,am_experiment_3,malt,test,3,84.20%
edt,am_experiment_3,malt,train,4,92.60%
edt,am_experiment_3,malt,test,4,84.40%
edt,am_experiment_3,malt,train,5,92.60%
edt,am_experiment_3,malt,test,5,83.80%
edt,am_experiment_3,malt,train,6,92.60%
edt,am_experiment_3,malt,test,6,83.50%
edt,am_experiment_3,malt,train,7,92.60%
edt,am_experiment_3,malt,test,7,83.40%
edt,am_experiment_3,malt,train,8,92.70%
edt,am_experiment_3,malt,test,8,83.30%
edt,am_experiment_3,malt,train,9,92.50%
edt,am_experiment_3,malt,test,9,84.50%
edt,gm_experiment_3_2,udpipe,train,0,91.41%
edt,gm_experiment_3_2,udpipe,test,0,83.83%
edt,gm_experiment_3_2,udpipe,train,1,90.89%
edt,gm_experiment_3_2,udpipe,test,1,85.37%
edt,gm_experiment_3_2,udpipe,train,2,90.96%
edt,gm_experiment_3_2,udpipe,test,2,84.75%
edt,gm_experiment_3_2,udpipe,train,3,91.27%
edt,gm_experiment_3_2,udpipe,test,3,84.55%
edt,gm_experiment_3_2,udpipe,train,4,91.28%
edt,gm_experiment_3_2,udpipe,test,4,85.70%
edt,gm_experiment_3_2,udpipe,train,5,91.37%
edt,gm_experiment_3_2,udpipe,test,5,85.90%
edt,gm_experiment_3_2,udpipe,train,6,90.74%
edt,gm_experiment_3_2,udpipe,test,6,85.09%
edt,gm_experiment_3_2,udpipe,train,7,90.64%
