Collection,Experiment,Model,Source,Split,LA,UAS,LAS
est_ud,gm_experiment_6_2,udpipe,train,7,-,"88.53%,",85.46%
est_ud,gm_experiment_6_2,udpipe,test,7,-,"82.45%,",77.55%
est_ud,gm_experiment_6_2,udpipe,train,8,-,"88.86%,",85.87%
est_ud,gm_experiment_6_2,udpipe,test,8,-,"82.92%,",78.31%
est_ud,gm_experiment_6_2,udpipe,train,9,-,"88.88%,",85.85%
est_ud,gm_experiment_6_2,udpipe,test,9,-,"83.00%,",78.39%
est_ud,am_experiment_6_2,udpipe,train,0,-,"90.46%,",88.27%
est_ud,am_experiment_6_2,udpipe,test,0,-,"84.82%,",81.45%
est_ud,am_experiment_6_2,udpipe,train,1,-,"90.98%,",88.82%
est_ud,am_experiment_6_2,udpipe,test,1,-,"85.36%,",82.20%
est_ud,am_experiment_6_2,udpipe,train,2,-,"90.81%,",88.65%
est_ud,am_experiment_6_2,udpipe,test,2,-,"85.05%,",81.66%
est_ud,am_experiment_6_2,udpipe,train,3,-,"90.84%,",88.70%
est_ud,am_experiment_6_2,udpipe,test,3,-,"85.19%,",81.85%
est_ud,am_experiment_6_2,udpipe,train,4,-,"90.69%,",88.52%
est_ud,am_experiment_6_2,udpipe,test,4,-,"85.15%,",81.73%
est_ud,am_experiment_6_2,udpipe,train,5,-,"90.74%,",88.59%
est_ud,am_experiment_6_2,udpipe,test,5,-,"84.71%,",81.34%
est_ud,am_experiment_6_2,udpipe,train,6,-,"90.92%,",88.71%
est_ud,am_experiment_6_2,udpipe,test,6,-,"85.70%,",82.48%
est_ud,am_experiment_6_2,udpipe,train,7,-,"91.04%,",88.86%
est_ud,am_experiment_6_2,udpipe,test,7,-,"85.50%,",82.38%
est_ud,am_experiment_6_2,udpipe,train,8,-,"90.43%,",88.29%
est_ud,am_experiment_6_2,udpipe,test,8,-,"84.93%,",81.61%
est_ud,am_experiment_6_2,udpipe,train,9,-,"91.14%,",88.94%
est_ud,am_experiment_6_2,udpipe,test,9,-,"85.19%,",81.95%
est_ud,gm_experiment_7,udpipe,train,0,-,"89.83%,",87.89%
est_ud,gm_experiment_7,udpipe,test,0,-,"84.61%,",81.45%
est_ud,gm_experiment_7,udpipe,train,1,-,"89.67%,",87.71%
est_ud,gm_experiment_7,udpipe,test,1,-,"84.52%,",81.66%
est_ud,gm_experiment_7,udpipe,train,2,-,"89.89%,",87.93%
est_ud,gm_experiment_7,udpipe,test,2,-,"84.22%,",81.42%
est_ud,gm_experiment_7,udpipe,train,3,-,"89.72%,",87.65%
est_ud,gm_experiment_7,udpipe,test,3,-,"83.70%,",80.46%
est_ud,gm_experiment_7,udpipe,train,4,-,"89.44%,",87.59%
est_ud,gm_experiment_7,udpipe,test,4,-,"83.48%,",80.49%
est_ud,gm_experiment_7,udpipe,train,5,-,"90.33%,",88.51%
est_ud,gm_experiment_7,udpipe,test,5,-,"84.48%,",81.68%
est_ud,gm_experiment_7,udpipe,train,6,-,"89.94%,",88.04%
est_ud,gm_experiment_7,udpipe,test,6,-,"83.98%,",81.04%
est_ud,gm_experiment_7,udpipe,train,7,-,"90.31%,",88.46%
est_ud,gm_experiment_7,udpipe,test,7,-,"84.53%,",81.58%
est_ud,gm_experiment_7,udpipe,train,8,-,"90.09%,",88.15%
est_ud,gm_experiment_7,udpipe,test,8,-,"84.36%,",81.35%
est_ud,gm_experiment_7,udpipe,train,9,-,"90.64%,",88.71%
est_ud,gm_experiment_7,udpipe,test,9,-,"84.00%,",80.86%
est_ud,am_experiment_7,udpipe,train,0,-,"89.43%,",86.91%
est_ud,am_experiment_7,udpipe,test,0,-,"84.26%,",80.44%
est_ud,am_experiment_7,udpipe,train,1,-,"89.70%,",87.22%
est_ud,am_experiment_7,udpipe,test,1,-,"84.13%,",80.28%
est_ud,am_experiment_7,udpipe,train,2,-,"89.59%,",87.10%
est_ud,am_experiment_7,udpipe,test,2,-,"84.05%,",80.26%
est_ud,am_experiment_7,udpipe,train,3,-,"89.70%,",87.18%
est_ud,am_experiment_7,udpipe,test,3,-,"83.52%,",79.61%
est_ud,am_experiment_7,udpipe,train,4,-,"89.57%,",87.05%
est_ud,am_experiment_7,udpipe,test,4,-,"83.69%,",79.74%
est_ud,am_experiment_7,udpipe,train,5,-,"89.24%,",86.82%
est_ud,am_experiment_7,udpipe,test,5,-,"83.22%,",79.49%
