verbobl;verb;case;isikumäärus;aja-kohamäärus;muu;deprel
võitlema vastu - all (kellele/millele);võitlema vastu;all (kellele/millele);mitte kunagi;mitte kunagi;muu;obl
paotama - all (kellele/millele);paotama;all (kellele/millele);alati;mitte kunagi;muu;obl
reisima - all (kellele/millele);reisima;all (kellele/millele);mitte kunagi;alati;mitte kunagi;obl
esindama - all (kellele/millele);esindama;all (kellele/millele);vahel;mitte kunagi;muu;obl
adresseerima - all (kellele/millele);adresseerima;all (kellele/millele);alati;mitte kunagi;mitte kunagi;obl
elavnema - all (kellele/millele);elavnema;all (kellele/millele);mitte kunagi;mitte kunagi;muu;obl
viima ära - all (kellele/millele);viima ära;all (kellele/millele);vahel;vahel;muu;obl
võitlema välja - all (kellele/millele);võitlema välja;all (kellele/millele);vahel;vahel;muu;obl
inspireerima - all (kellele/millele);inspireerima;all (kellele/millele);mitte kunagi;vahel;muu;obl
ütlema kaasa - all (kellele/millele);ütlema kaasa;all (kellele/millele);vahel;vahel;muu ja pole kindel;obl
roomama - all (kellele/millele);roomama;all (kellele/millele);vahel;alati;mitte kunagi;obl
viima välja - all (kellele/millele);viima välja;all (kellele/millele);vahel;vahel;muu;obl
edenema - all (kellele/millele);edenema;all (kellele/millele);vahel;mitte kunagi;muu;obl
ihaldama - all (kellele/millele);ihaldama;all (kellele/millele);vahel;vahel;muu;obl
võtma järele - all (kellele/millele);võtma järele;all (kellele/millele);alati;mitte kunagi;muu;obl
ruttama vastu - all (kellele/millele);ruttama vastu;all (kellele/millele);alati;mitte kunagi;muu;obl
saama lahti - all (kellele/millele);saama lahti;all (kellele/millele);alati;mitte kunagi;muu ja vaieldav märgendus;obl
ihuma - all (kellele/millele);ihuma;all (kellele/millele);vahel;mitte kunagi;muu;obl
värbama - all (kellele/millele);värbama;all (kellele/millele);alati;vahel;muu;obl
ilmuma kohale - all (kellele/millele);ilmuma kohale;all (kellele/millele);mitte kunagi;alati;pole kindel;obl
formuleerima - all (kellele/millele);formuleerima;all (kellele/millele);alati;mitte kunagi;muu;obl
ajama sisse - all (kellele/millele);ajama sisse;all (kellele/millele);vahel;vahel;mitte kunagi;obl
ehitama peale - all (kellele/millele);ehitama peale;all (kellele/millele);vahel;alati;mitte kunagi;obl
parandama - all (kellele/millele);parandama;all (kellele/millele);vahel;vahel;muu;obl
olema rahul - all (kellele/millele);olema rahul;all (kellele/millele);vahel;vahel;muu;obl
salvestama - all (kellele/millele);salvestama;all (kellele/millele);vahel;alati;muu;obl
saama külge - all (kellele/millele);saama külge;all (kellele/millele);mitte kunagi;alati;muu;obl
ehitama juurde - all (kellele/millele);ehitama juurde;all (kellele/millele);mitte kunagi;alati;mitte kunagi;obl
fokuseerima - all (kellele/millele);fokuseerima;all (kellele/millele);vahel;vahel;mitte kunagi;obl
panema püsti - all (kellele/millele);panema püsti;all (kellele/millele);vahel;vahel;mitte kunagi;obl
fokuseeruma - all (kellele/millele);fokuseeruma;all (kellele/millele);mitte kunagi;mitte kunagi;muu;obl
ehitama välja - all (kellele/millele);ehitama välja;all (kellele/millele);vahel;mitte kunagi;muu;obl
ajama peale - all (kellele/millele);ajama peale;all (kellele/millele);alati;vahel;mitte kunagi;obl
pankrotistuma - all (kellele/millele);pankrotistuma;all (kellele/millele);vahel;vahel;vaieldav märgendus;obl
väsima - all (kellele/millele);väsima;all (kellele/millele);vahel;vahel;muu ja pole kindel;obl
võrsuma - all (kellele/millele);võrsuma;all (kellele/millele);vahel;vahel;muu;obl
saama juurde - all (kellele/millele);saama juurde;all (kellele/millele);vahel;vahel;muu;obl
saatma vastu - all (kellele/millele);saatma vastu;all (kellele/millele);vahel;vahel;mitte kunagi;obl
ajama püsti - all (kellele/millele);ajama püsti;all (kellele/millele);vahel;alati;mitte kunagi;obl
võtma ette - all (kellele/millele);võtma ette;all (kellele/millele);vahel;vahel;muu;obl
akkama - all (kellele/millele);akkama;all (kellele/millele);vahel;vahel;muu;obl
saama jälile - all (kellele/millele);saama jälile;all (kellele/millele);vahel;mitte kunagi;muu;obl
ehitama ümber - all (kellele/millele);ehitama ümber;all (kellele/millele);vahel;vahel;muu;obl
eemaldama - all (kellele/millele);eemaldama;all (kellele/millele);vahel;vahel;muu;obl
panema pihta - all (kellele/millele);panema pihta;all (kellele/millele);vahel;vahel;muu;obl
ajastama - all (kellele/millele);ajastama;all (kellele/millele);mitte kunagi;alati;mitte kunagi;obl
vilgutama - all (kellele/millele);vilgutama;all (kellele/millele);vahel;mitte kunagi;muu;obl
irvitama - all (kellele/millele);irvitama;all (kellele/millele);alati;mitte kunagi;muu;obl
ajendama - all (kellele/millele);ajendama;all (kellele/millele);mitte kunagi;alati;muu;obl
saatma laiali - all (kellele/millele);saatma laiali;all (kellele/millele);vahel;vahel;mitte kunagi;obl
surema - all (kellele/millele);surema;all (kellele/millele);mitte kunagi;vahel;muu;obl
ilmnema - all (kellele/millele);ilmnema;all (kellele/millele);vahel;vahel;muu;obl
olema kokku, võlgu - all (kellele/millele);olema kokku, võlgu;all (kellele/millele);alati;mitte kunagi;mitte kunagi;obl
paiknema - all (kellele/millele);paiknema;all (kellele/millele);vahel;vahel;muu ja pole kindel;obl
eemalduma - all (kellele/millele);eemalduma;all (kellele/millele);vahel;alati;muu;obl
ilmestama - all (kellele/millele);ilmestama;all (kellele/millele);mitte kunagi;vahel;muu;obl
üürima välja - all (kellele/millele);üürima välja;all (kellele/millele);alati;mitte kunagi;muu;obl
ihkama tagasi - all (kellele/millele);ihkama tagasi;all (kellele/millele);mitte kunagi;alati;muu;obl
genereerima - all (kellele/millele);genereerima;all (kellele/millele);vahel;vahel;vaieldav märgendus;obl
ilmuma välja - all (kellele/millele);ilmuma välja;all (kellele/millele);vahel;vahel;muu;obl
sõitma külge - all (kellele/millele);sõitma külge;all (kellele/millele);vahel;mitte kunagi;muu;obl
saatma ära - all (kellele/millele);saatma ära;all (kellele/millele);vahel;vahel;muu;obl
võistlema - all (kellele/millele);võistlema;all (kellele/millele);mitte kunagi;vahel;muu;obl
erinema - all (kellele/millele);erinema;all (kellele/millele);vahel;mitte kunagi;muu;obl
saatma välja - all (kellele/millele);saatma välja;all (kellele/millele);vahel;vahel;muu ja vaieldav märgendus;obl
panema külge - all (kellele/millele);panema külge;all (kellele/millele);vahel;alati;mitte kunagi;obl
hüüdma järele - all (kellele/millele);hüüdma järele;all (kellele/millele);alati;mitte kunagi;mitte kunagi;obl
vinnama - all (kellele/millele);vinnama;all (kellele/millele);vahel;alati;mitte kunagi;obl
rentima välja - all (kellele/millele);rentima välja;all (kellele/millele);alati;vahel;mitte kunagi;obl
alistama - all (kellele/millele);alistama;all (kellele/millele);vahel;mitte kunagi;muu;obl
väljenduma - all (kellele/millele);väljenduma;all (kellele/millele);vahel;vahel;muu;obl
paaduma - all (kellele/millele);paaduma;all (kellele/millele);alati;mitte kunagi;muu;obl
ostma tagasi - all (kellele/millele);ostma tagasi;all (kellele/millele);vahel;mitte kunagi;muu;obl
domineerima - all (kellele/millele);domineerima;all (kellele/millele);mitte kunagi;mitte kunagi;muu;obl
saabuma kokku - all (kellele/millele);saabuma kokku;all (kellele/millele);mitte kunagi;alati;mitte kunagi;obl
eraldama kokku - all (kellele/millele);eraldama kokku;all (kellele/millele);alati;vahel;muu;obl
igatsema tagasi - all (kellele/millele);igatsema tagasi;all (kellele/millele);mitte kunagi;alati;muu;obl
saama läbi - all (kellele/millele);saama läbi;all (kellele/millele);vahel;mitte kunagi;muu;obl
erastama - all (kellele/millele);erastama;all (kellele/millele);alati;mitte kunagi;mitte kunagi;obl
pantima - all (kellele/millele);pantima;all (kellele/millele);alati;mitte kunagi;muu;obl
saama ümber - all (kellele/millele);saama ümber;all (kellele/millele);vahel;vahel;muu;obl
ronima järele - all (kellele/millele);ronima järele;all (kellele/millele);alati;vahel;mitte kunagi;obl
panema otsa - all (kellele/millele);panema otsa;all (kellele/millele);mitte kunagi;alati;mitte kunagi;obl
igatsema - all (kellele/millele);igatsema;all (kellele/millele);vahel;alati;muu;obl
haakima - all (kellele/millele);haakima;all (kellele/millele);vahel;vahel;mitte kunagi;obl
väntama - all (kellele/millele);väntama;all (kellele/millele);vahel;vahel;muu ja vaieldav märgendus;obl
osundama - all (kellele/millele);osundama;all (kellele/millele);vahel;vahel;muu;obl
edestama - all (kellele/millele);edestama;all (kellele/millele);vahel;mitte kunagi;muu;obl
särama - all (kellele/millele);särama;all (kellele/millele);vahel;vahel;muu;obl
peatama - all (kellele/millele);peatama;all (kellele/millele);vahel;vahel;muu;obl
värvima - all (kellele/millele);värvima;all (kellele/millele);vahel;vahel;muu;obl
ajama välja - all (kellele/millele);ajama välja;all (kellele/millele);alati;vahel;mitte kunagi;obl
ronima otsa - all (kellele/millele);ronima otsa;all (kellele/millele);vahel;vahel;mitte kunagi;obl
ergutama - all (kellele/millele);ergutama;all (kellele/millele);mitte kunagi;vahel;muu;obl
paigutuma - all (kellele/millele);paigutuma;all (kellele/millele);mitte kunagi;alati;mitte kunagi;obl
funktsioneerima - all (kellele/millele);funktsioneerima;all (kellele/millele);vahel;mitte kunagi;muu;obl
sõitma läbi - all (kellele/millele);sõitma läbi;all (kellele/millele);mitte kunagi;alati;muu;obl
ilmuma tagasi - all (kellele/millele);ilmuma tagasi;all (kellele/millele);mitte kunagi;alati;mitte kunagi;obl
ajama vastu - all (kellele/millele);ajama vastu;all (kellele/millele);mitte kunagi;mitte kunagi;muu;obl
saama jaole - all (kellele/millele);saama jaole;all (kellele/millele);mitte kunagi;mitte kunagi;muu;obl
rentima edasi - all (kellele/millele);rentima edasi;all (kellele/millele);alati;mitte kunagi;mitte kunagi;obl
viima läbi - all (kellele/millele);viima läbi;all (kellele/millele);vahel;vahel;muu;obl
ühinema - all (kellele/millele);ühinema;all (kellele/millele);vahel;mitte kunagi;muu ja vaieldav märgendus;obl
hüüatama - all (kellele/millele);hüüatama;all (kellele/millele);vahel;mitte kunagi;muu;obl
sallima - all (kellele/millele);sallima;all (kellele/millele);vahel;mitte kunagi;muu;obl
panema maha - all (kellele/millele);panema maha;all (kellele/millele);mitte kunagi;alati;muu;obl
eralduma - all (kellele/millele);eralduma;all (kellele/millele);vahel;vahel;muu;obl
peibutama - all (kellele/millele);peibutama;all (kellele/millele);mitte kunagi;vahel;muu;obl
ehituma - all (kellele/millele);ehituma;all (kellele/millele);mitte kunagi;alati;mitte kunagi;obl
virutama vastu - all (kellele/millele);virutama vastu;all (kellele/millele);alati;mitte kunagi;mitte kunagi;obl
vormima - all (kellele/millele);vormima;all (kellele/millele);vahel;vahel;muu;obl
hoidma kokku - all (kellele/millele);hoidma kokku;all (kellele/millele);vahel;mitte kunagi;muu;obl
röökima - all (kellele/millele);röökima;all (kellele/millele);alati;mitte kunagi;mitte kunagi;obl
hoidma lahti - all (kellele/millele);hoidma lahti;all (kellele/millele);alati;mitte kunagi;muu;obl
rikkuma - all (kellele/millele);rikkuma;all (kellele/millele);alati;vahel;mitte kunagi;obl
ärritama - all (kellele/millele);ärritama;all (kellele/millele);vahel;vahel;muu;obl
asendama - all (kellele/millele);asendama;all (kellele/millele);vahel;vahel;muu;obl
pakkuma vastu - all (kellele/millele);pakkuma vastu;all (kellele/millele);alati;mitte kunagi;muu;obl
röögatama - all (kellele/millele);röögatama;all (kellele/millele);alati;mitte kunagi;mitte kunagi;obl
voogama - all (kellele/millele);voogama;all (kellele/millele);vahel;vahel;muu;obl
ässitama - all (kellele/millele);ässitama;all (kellele/millele);vahel;vahel;mitte kunagi;obl
asenduma - all (kellele/millele);asenduma;all (kellele/millele);mitte kunagi;vahel;muu ja vaieldav märgendus;obl
äsama - all (kellele/millele);äsama;all (kellele/millele);alati;mitte kunagi;mitte kunagi;obl
astuma välja - all (kellele/millele);astuma välja;all (kellele/millele);vahel;vahel;muu;obl
arutlema - all (kellele/millele);arutlema;all (kellele/millele);vahel;mitte kunagi;muu;obl
õigustama - all (kellele/millele);õigustama;all (kellele/millele);vahel;mitte kunagi;muu;obl
äratama - all (kellele/millele);äratama;all (kellele/millele);vahel;mitte kunagi;muu;obl
hiivama - all (kellele/millele);hiivama;all (kellele/millele);mitte kunagi;alati;mitte kunagi;obl
voorima - all (kellele/millele);voorima;all (kellele/millele);mitte kunagi;alati;mitte kunagi;obl
hoolitsema - all (kellele/millele);hoolitsema;all (kellele/millele);vahel;vahel;muu ja pole kindel;obl
astuma vahele - all (kellele/millele);astuma vahele;all (kellele/millele);vahel;alati;mitte kunagi;obl
paljastuma - all (kellele/millele);paljastuma;all (kellele/millele);vahel;vahel;muu;obl
asetuma - all (kellele/millele);asetuma;all (kellele/millele);mitte kunagi;alati;muu;obl
sagenema - all (kellele/millele);sagenema;all (kellele/millele);vahel;vahel;muu;obl
ässitama kallale - all (kellele/millele);ässitama kallale;all (kellele/millele);alati;mitte kunagi;mitte kunagi;obl
arvutama välja - all (kellele/millele);arvutama välja;all (kellele/millele);vahel;mitte kunagi;muu;obl
pajatama - all (kellele/millele);pajatama;all (kellele/millele);alati;mitte kunagi;mitte kunagi;obl
austama - all (kellele/millele);austama;all (kellele/millele);vahel;vahel;muu;obl
heitma tagasi - all (kellele/millele);heitma tagasi;all (kellele/millele);vahel;alati;muu;obl
säästma - all (kellele/millele);säästma;all (kellele/millele);vahel;vahel;muu;obl
assotsieeruma - all (kellele/millele);assotsieeruma;all (kellele/millele);alati;mitte kunagi;mitte kunagi;obl
suitsetama - all (kellele/millele);suitsetama;all (kellele/millele);vahel;mitte kunagi;muu ja vaieldav märgendus;obl
arvutama - all (kellele/millele);arvutama;all (kellele/millele);vahel;vahel;muu;obl
assisteerima - all (kellele/millele);assisteerima;all (kellele/millele);vahel;vahel;muu;obl
hoidma ära - all (kellele/millele);hoidma ära;all (kellele/millele);mitte kunagi;alati;muu;obl
hoiatama - all (kellele/millele);hoiatama;all (kellele/millele);vahel;vahel;muu;obl
pakkuma tagasi - all (kellele/millele);pakkuma tagasi;all (kellele/millele);alati;mitte kunagi;mitte kunagi;obl
saama sisse - all (kellele/millele);saama sisse;all (kellele/millele);vahel;vahel;muu;obl
rikastama - all (kellele/millele);rikastama;all (kellele/millele);alati;vahel;mitte kunagi;obl
astuma juurde - all (kellele/millele);astuma juurde;all (kellele/millele);alati;mitte kunagi;mitte kunagi;obl
õhkuma - all (kellele/millele);õhkuma;all (kellele/millele);vahel;vahel;muu;obl
ärkama - all (kellele/millele);ärkama;all (kellele/millele);mitte kunagi;alati;muu;obl
hoiduma - all (kellele/millele);hoiduma;all (kellele/millele);vahel;vahel;muu;obl
astuma ette - all (kellele/millele);astuma ette;all (kellele/millele);vahel;vahel;mitte kunagi;obl
hirmutama - all (kellele/millele);hirmutama;all (kellele/millele);alati;vahel;muu;obl
röövima - all (kellele/millele);röövima;all (kellele/millele);vahel;vahel;mitte kunagi;obl
õhkama - all (kellele/millele);õhkama;all (kellele/millele);alati;mitte kunagi;mitte kunagi;obl
sadestuma - all (kellele/millele);sadestuma;all (kellele/millele);mitte kunagi;alati;mitte kunagi;obl
hoidma kinni - all (kellele/millele);hoidma kinni;all (kellele/millele);vahel;mitte kunagi;muu;obl
ootama ees - all (kellele/millele);ootama ees;all (kellele/millele);mitte kunagi;vahel;muu;obl
hiilima ligi - all (kellele/millele);hiilima ligi;all (kellele/millele);alati;vahel;mitte kunagi;obl
sulguma - all (kellele/millele);sulguma;all (kellele/millele);vahel;vahel;muu ja pole kindel;obl
reserveerima - all (kellele/millele);reserveerima;all (kellele/millele);alati;vahel;mitte kunagi;obl
võtma välja - all (kellele/millele);võtma välja;all (kellele/millele);vahel;vahel;muu;obl
sõitma kaasa - all (kellele/millele);sõitma kaasa;all (kellele/millele);mitte kunagi;alati;muu;obl
saama võidu - all (kellele/millele);saama võidu;all (kellele/millele);mitte kunagi;mitte kunagi;muu;obl
saama mööda - all (kellele/millele);saama mööda;all (kellele/millele);vahel;vahel;muu;obl
delegeerima edasi - all (kellele/millele);delegeerima edasi;all (kellele/millele);alati;mitte kunagi;mitte kunagi;obl
analüüsima - all (kellele/millele);analüüsima;all (kellele/millele);mitte kunagi;vahel;muu ja vaieldav märgendus;obl
võtma üles - all (kellele/millele);võtma üles;all (kellele/millele);vahel;vahel;muu;obl
paiskuma otsa - all (kellele/millele);paiskuma otsa;all (kellele/millele);vahel;alati;mitte kunagi;obl
hõlmama - all (kellele/millele);hõlmama;all (kellele/millele);mitte kunagi;vahel;muu;obl
visandama - all (kellele/millele);visandama;all (kellele/millele);vahel;alati;muu;obl
saama välja - all (kellele/millele);saama välja;all (kellele/millele);vahel;vahel;muu;obl
saama otsa - all (kellele/millele);saama otsa;all (kellele/millele);vahel;vahel;muu;obl
urineerima - all (kellele/millele);urineerima;all (kellele/millele);vahel;vahel;mitte kunagi;obl
ammutama - all (kellele/millele);ammutama;all (kellele/millele);vahel;vahel;muu;obl
sõitma järele - all (kellele/millele);sõitma järele;all (kellele/millele);alati;vahel;mitte kunagi;obl
halvenema - all (kellele/millele);halvenema;all (kellele/millele);vahel;vahel;muu;obl
võtma üle - all (kellele/millele);võtma üle;all (kellele/millele);vahel;vahel;muu;obl
ammenduma - all (kellele/millele);ammenduma;all (kellele/millele);vahel;mitte kunagi;muu;obl
ärgitama - all (kellele/millele);ärgitama;all (kellele/millele);mitte kunagi;vahel;muu;obl
paljundama - all (kellele/millele);paljundama;all (kellele/millele);alati;vahel;vaieldav märgendus;obl
peegelduma - all (kellele/millele);peegelduma;all (kellele/millele);vahel;vahel;muu;obl
astuma üles - all (kellele/millele);astuma üles;all (kellele/millele);alati;mitte kunagi;muu;obl
volitama - all (kellele/millele);volitama;all (kellele/millele);vahel;vahel;muu;obl
hingama - all (kellele/millele);hingama;all (kellele/millele);vahel;vahel;mitte kunagi;obl
astuma peale - all (kellele/millele);astuma peale;all (kellele/millele);vahel;vahel;mitte kunagi;obl
pakkuma kokku - all (kellele/millele);pakkuma kokku;all (kellele/millele);mitte kunagi;alati;muu;obl
astuma ligi - all (kellele/millele);astuma ligi;all (kellele/millele);alati;mitte kunagi;mitte kunagi;obl
astuma tagasi - all (kellele/millele);astuma tagasi;all (kellele/millele);mitte kunagi;vahel;muu;obl
rõõmustama - all (kellele/millele);rõõmustama;all (kellele/millele);alati;vahel;muu;obl
astuma sisse - all (kellele/millele);astuma sisse;all (kellele/millele);vahel;vahel;muu;obl
pakkuma juurde - all (kellele/millele);pakkuma juurde;all (kellele/millele);vahel;vahel;muu;obl
paljastama - all (kellele/millele);paljastama;all (kellele/millele);alati;mitte kunagi;mitte kunagi;obl
ammendama - all (kellele/millele);ammendama;all (kellele/millele);vahel;mitte kunagi;muu;obl
deklareerima - all (kellele/millele);deklareerima;all (kellele/millele);vahel;mitte kunagi;muu;obl
suunduma edasi - all (kellele/millele);suunduma edasi;all (kellele/millele);mitte kunagi;alati;mitte kunagi;obl
räntsatama - all (kellele/millele);räntsatama;all (kellele/millele);mitte kunagi;alati;mitte kunagi;obl
hõõruma - all (kellele/millele);hõõruma;all (kellele/millele);vahel;alati;mitte kunagi;obl
haldama - all (kellele/millele);haldama;all (kellele/millele);vahel;mitte kunagi;muu;obl
rivistuma - all (kellele/millele);rivistuma;all (kellele/millele);mitte kunagi;alati;muu;obl
sukelduma - all (kellele/millele);sukelduma;all (kellele/millele);mitte kunagi;alati;mitte kunagi;obl
viskama tagasi - all (kellele/millele);viskama tagasi;all (kellele/millele);vahel;alati;mitte kunagi;obl
suskama - all (kellele/millele);suskama;all (kellele/millele);alati;vahel;mitte kunagi;obl
arendama - all (kellele/millele);arendama;all (kellele/millele);vahel;mitte kunagi;muu ja vaieldav märgendus;obl
häbenema - all (kellele/millele);häbenema;all (kellele/millele);vahel;vahel;muu;obl
imema - all (kellele/millele);imema;all (kellele/millele);alati;vahel;muu;obl
aitama järele - all (kellele/millele);aitama järele;all (kellele/millele);alati;mitte kunagi;muu;obl
saama alla - all (kellele/millele);saama alla;all (kellele/millele);vahel;vahel;muu;obl
imestama - all (kellele/millele);imestama;all (kellele/millele);vahel;vahel;muu;obl
eksima ära - all (kellele/millele);eksima ära;all (kellele/millele);mitte kunagi;alati;muu;obl
emiteerima - all (kellele/millele);emiteerima;all (kellele/millele);vahel;vahel;muu;obl
ronima üles - all (kellele/millele);ronima üles;all (kellele/millele);mitte kunagi;alati;mitte kunagi;obl
ümbritsema - all (kellele/millele);ümbritsema;all (kellele/millele);vahel;vahel;muu;obl
rulluma - all (kellele/millele);rulluma;all (kellele/millele);mitte kunagi;alati;mitte kunagi;obl
reklaamima - all (kellele/millele);reklaamima;all (kellele/millele);alati;mitte kunagi;mitte kunagi;obl
aretama - all (kellele/millele);aretama;all (kellele/millele);vahel;vahel;muu;obl
riietuma - all (kellele/millele);riietuma;all (kellele/millele);mitte kunagi;vahel;muu;obl
pakkima - all (kellele/millele);pakkima;all (kellele/millele);vahel;vahel;mitte kunagi;obl
helistama tagasi - all (kellele/millele);helistama tagasi;all (kellele/millele);alati;mitte kunagi;mitte kunagi;obl
viskuma - all (kellele/millele);viskuma;all (kellele/millele);mitte kunagi;alati;mitte kunagi;obl
peegeldama tagasi - all (kellele/millele);peegeldama tagasi;all (kellele/millele);vahel;vahel;mitte kunagi;obl
helisema - all (kellele/millele);helisema;all (kellele/millele);alati;mitte kunagi;muu;obl
pakkima kaasa - all (kellele/millele);pakkima kaasa;all (kellele/millele);alati;vahel;mitte kunagi;obl
saama kätte - all (kellele/millele);saama kätte;all (kellele/millele);vahel;vahel;muu;obl
viima tagasi - all (kellele/millele);viima tagasi;all (kellele/millele);vahel;vahel;mitte kunagi;obl
ehmatama - all (kellele/millele);ehmatama;all (kellele/millele);vahel;vahel;muu;obl
ütlema üles - all (kellele/millele);ütlema üles;all (kellele/millele);vahel;vahel;mitte kunagi;obl
ajama ette - all (kellele/millele);ajama ette;all (kellele/millele);vahel;alati;mitte kunagi;obl
võrduma - all (kellele/millele);võrduma;all (kellele/millele);vahel;vahel;muu;obl
ajama kokku - all (kellele/millele);ajama kokku;all (kellele/millele);vahel;vahel;vaieldav märgendus;obl
ronima tagasi - all (kellele/millele);ronima tagasi;all (kellele/millele);mitte kunagi;alati;mitte kunagi;obl
suusatama - all (kellele/millele);suusatama;all (kellele/millele);vahel;alati;muu;obl
panema sisse - all (kellele/millele);panema sisse;all (kellele/millele);vahel;alati;muu;obl
eristama - all (kellele/millele);eristama;all (kellele/millele);mitte kunagi;mitte kunagi;muu;obl
finantseerima - all (kellele/millele);finantseerima;all (kellele/millele);vahel;vahel;muu ja pole kindel;obl
väärima - all (kellele/millele);väärima;all (kellele/millele);vahel;vahel;muu;obl
salvestuma - all (kellele/millele);salvestuma;all (kellele/millele);mitte kunagi;alati;mitte kunagi;obl
eksisteerima - all (kellele/millele);eksisteerima;all (kellele/millele);vahel;mitte kunagi;muu;obl
viitsima - all (kellele/millele);viitsima;all (kellele/millele);mitte kunagi;vahel;muu ja vaieldav märgendus;obl
ütlema välja - all (kellele/millele);ütlema välja;all (kellele/millele);alati;mitte kunagi;mitte kunagi;obl
viitma - all (kellele/millele);viitma;all (kellele/millele);vahel;vahel;muu;obl
evima - all (kellele/millele);evima;all (kellele/millele);vahel;vahel;muu;obl
etendama - all (kellele/millele);etendama;all (kellele/millele);alati;mitte kunagi;mitte kunagi;obl
pahvatama - all (kellele/millele);pahvatama;all (kellele/millele);alati;mitte kunagi;muu;obl
panema ümber - all (kellele/millele);panema ümber;all (kellele/millele);vahel;vahel;muu;obl
ütlema vastu - all (kellele/millele);ütlema vastu;all (kellele/millele);alati;mitte kunagi;muu;obl
võluma - all (kellele/millele);võluma;all (kellele/millele);vahel;vahel;muu;obl
faksima - all (kellele/millele);faksima;all (kellele/millele);alati;mitte kunagi;muu;obl
panema taha - all (kellele/millele);panema taha;all (kellele/millele);vahel;vahel;muu;obl
hukkuma - all (kellele/millele);hukkuma;all (kellele/millele);alati;vahel;mitte kunagi;obl
ära - all (kellele/millele);ära;all (kellele/millele);vahel;vahel;muu;obl
rippuma - all (kellele/millele);rippuma;all (kellele/millele);vahel;vahel;muu;obl
rihtima - all (kellele/millele);rihtima;all (kellele/millele);vahel;vahel;muu ja pole kindel;obl
häirima - all (kellele/millele);häirima;all (kellele/millele);vahel;vahel;muu;obl
hämmastama - all (kellele/millele);hämmastama;all (kellele/millele);vahel;vahel;muu;obl
heitlema - all (kellele/millele);heitlema;all (kellele/millele);mitte kunagi;mitte kunagi;muu;obl
vupsama - all (kellele/millele);vupsama;all (kellele/millele);mitte kunagi;alati;mitte kunagi;obl
heiskama - all (kellele/millele);heiskama;all (kellele/millele);mitte kunagi;alati;muu;obl
avalduma - all (kellele/millele);avalduma;all (kellele/millele);vahel;vahel;muu;obl
sõitma edasi - all (kellele/millele);sõitma edasi;all (kellele/millele);mitte kunagi;alati;mitte kunagi;obl
avaldama tänu - all (kellele/millele);avaldama tänu;all (kellele/millele);alati;mitte kunagi;mitte kunagi;obl
ründama - all (kellele/millele);ründama;all (kellele/millele);vahel;vahel;muu;obl
rääkima välja - all (kellele/millele);rääkima välja;all (kellele/millele);alati;mitte kunagi;muu;obl
saama tänu - all (kellele/millele);saama tänu;all (kellele/millele);vahel;mitte kunagi;muu;obl
paisuma - all (kellele/millele);paisuma;all (kellele/millele);mitte kunagi;vahel;muu ja vaieldav märgendus;obl
anuma - all (kellele/millele);anuma;all (kellele/millele);vahel;vahel;muu;obl
huvituma - all (kellele/millele);huvituma;all (kellele/millele);vahel;vahel;muu;obl
peegeldama - all (kellele/millele);peegeldama;all (kellele/millele);vahel;vahel;muu;obl
viskama välja - all (kellele/millele);viskama välja;all (kellele/millele);vahel;vahel;muu;obl
parseldama maha - all (kellele/millele);parseldama maha;all (kellele/millele);alati;mitte kunagi;muu;obl
huvitama - all (kellele/millele);huvitama;all (kellele/millele);vahel;vahel;muu ja vaieldav märgendus;obl
aplodeerima - all (kellele/millele);aplodeerima;all (kellele/millele);vahel;mitte kunagi;muu;obl
orienteerima - all (kellele/millele);orienteerima;all (kellele/millele);vahel;vahel;muu;obl
heitma peale - all (kellele/millele);heitma peale;all (kellele/millele);vahel;vahel;muu;obl
hiilgama - all (kellele/millele);hiilgama;all (kellele/millele);vahel;vahel;muu ja vaieldav märgendus;obl
peetama - all (kellele/millele);peetama;all (kellele/millele);alati;vahel;muu;obl
õitsema - all (kellele/millele);õitsema;all (kellele/millele);mitte kunagi;mitte kunagi;muu;obl
opereerima - all (kellele/millele);opereerima;all (kellele/millele);vahel;vahel;muu;obl
hiilima - all (kellele/millele);hiilima;all (kellele/millele);mitte kunagi;alati;mitte kunagi;obl
parkima - all (kellele/millele);parkima;all (kellele/millele);mitte kunagi;alati;muu;obl
vorpima - all (kellele/millele);vorpima;all (kellele/millele);alati;vahel;muu;obl
oponeerima - all (kellele/millele);oponeerima;all (kellele/millele);vahel;mitte kunagi;muu;obl
äigama - all (kellele/millele);äigama;all (kellele/millele);alati;mitte kunagi;mitte kunagi;obl
sõdima - all (kellele/millele);sõdima;all (kellele/millele);vahel;vahel;muu;obl
saama taha - all (kellele/millele);saama taha;all (kellele/millele);vahel;vahel;muu ja vaieldav märgendus;obl
asuma lähedal - all (kellele/millele);asuma lähedal;all (kellele/millele);vahel;vahel;muu;obl
armastama - all (kellele/millele);armastama;all (kellele/millele);vahel;mitte kunagi;muu;obl
palkama - all (kellele/millele);palkama;all (kellele/millele);vahel;vahel;mitte kunagi;obl
rühkima - all (kellele/millele);rühkima;all (kellele/millele);mitte kunagi;alati;muu;obl
sõdima vastu - all (kellele/millele);sõdima vastu;all (kellele/millele);mitte kunagi;vahel;muu;obl
annuma - all (kellele/millele);annuma;all (kellele/millele);mitte kunagi;mitte kunagi;vaieldav märgendus;obl
