verb,compound1,compound2,obl,obl_form
kinnitama,,,sotsialismimaa,pl in
jah,,,mõte,sg in
sattuma,,,staadium,sg in
käima,,,kool,sg in
hakkama,,,kokkuvõte,sg in
soovitama,,,huvi,pl in
riistvara,,,sünd,pl in
seejuures,,,kool,sg in
ütlema,,,tulevik,sg in
ütlema,,,isesesva,sg in
ütlema,,,riik,sg in
kestma,,,Bulgaaria,sg in
prognoosima,,,keel,sg in
jätma,,,parlament,sg in
teostama,,,huvi,pl in
lihtne,,,huvi,pl in
osalema,,,dialoog,sg in
meenutama,,,mai,sg in
tootma,,,see,sg in
peituma,,,tõdemus,sg in
esinema,,,mis,sg in
nimetatud,,,ajakirjandus,sg in
loomine,,,Bosnia,sg in
puuduma,,,kool,sg in
10%,,,populatsioon,sg in
teadma,,,ühiskond,sg in
probleem,,,tegelikkus,sg in
tooma,,,reitingurida,sg in
kõrgeim,,,keel,sg in
kõrgeim,,,maakond,sg in
jõudma,järele,,keel,sg in
toetus,,,aine,sg in
käima,läbi,,mitmetahulisus,sg in
jätma,,,seis,sg in
pank,,,perspektiiv,sg in
huvitav,,,see,sg in
veenev,,,november,sg in
veenev,,,intervjuu,sg in
veetma,,,Tallinn,sg in
põhjendama,,,vastus,sg in
põhjendama,,,kõrvalmets,sg in
hakkama,,,keskus,pl in
eeldama,,,silm,sg in
teenima,,,Kaug-Ida,sg in
teenima,,,tankipolk,sg in
kandma,,,ise,sg in
lugema,,,küsimus,sg in
tegelema,,,osa,pl in
tegelema,,,teine,pl in
väitma,,,konkurents,sg in
väitma,,,kodu,sg in
kujutama,,,silm,sg in
lubama,,,NHL,sg in
tegema,,,kesklinn,sg in
vallandama,,,luup,sg in
leidnud,,,tegevus,sg in
kohtama,,,toitlustuspiirkond,sg in
laekuma,,,märts,sg in
kantud,üle,,Panga,sg in
asuma,,,Helsingi,sg in
asuma,,,keskus,sg in
saama,,,linn,sg in
nüüd,,,ajalooõpik,pl in
lööma,kaasa,,etendus,sg in
tajuma,,,oktoober,sg in
hakkama,,,tragöödia,sg in
tähendama,,,riik,sg in
võimetu,,,Eesti,sg in
kriminaalasi,,,menetlus,sg in
vahistama,,,vägistamine,sg in
rääkima,,,maailm,sg in
liikuma,,,üldjoon,pl in
raske,,,hoone,pl in
lammutama,,,linn,pl in
leidma,,,kord,sg in
käskima,,,Kiiev,sg in
hakkama,,,turvakodu,sg in
johtuma,,,normativism,sg in
suund,,,september,sg in
jäigem,,,Euroopa,sg in
suutma,,,eesots,sg in
suutma,,,Kreml,sg in
väitlema,,,tingimus,pl in
olema,,,võrendik,pl in
kahekordistunud,,,Eesti,sg in
toppima,täis,,osakond,sg in
leppima,kokku,,Eesti,sg in
kaaluma,,,kaitsejõud,pl in
töötama,,,erafirma,sg in
väiksem,,,Eesti,sg in
hakkama,,,Soome,sg in
hakkama,,,Lääne,sg in
meel,,,hukkamõistmine,sg in
olema,alles,,Tartu,sg in
kroon,,,maja,sg in
kasvama,,,aasta,sg in
ajama,,,riigikeel,sg in
saama,sisse,,kool,sg in
saama,sisse,,Tallinn,sg in
saama,sisse,,euroülikool,sg in
levima,,,kool,sg in
nii,,,omavoli,sg in
nii,,,ühiskond,sg in
võtma,,,eeskiri,pl in
võtma,,,eeter,sg in
tegema,,,Bosnia,sg in
elama,,,auto,sg in
elama,,,maailm,sg in
toimuma,,,kultuur,sg in
pidama,,,Brüssel,sg in
lähtuma,,,TKP,sg in
järgnema,,,veebruar,sg in
levima,,,Eesti,sg in
armastama,,,eravestlus,pl in
pöörama,,,ajakirjandus,sg in
avaldama,,,elanikkond,sg in
pakkuma,välja,,maailm,sg in
müüma,,,ligidus,sg in
müüma,,,pood,sg in
tahtma,,,grupp,sg in
tahtma,,,laienemisring,sg in
kukkuma,,,väikelinn,pl in
rabelema,,,väikelinn,sg in
isik,,,maailm,sg in
võimatu,,,esinduskogu,pl in
rippuma,,,oks,sg in
