entity_root,count
lilleküla,11
võrkpall,11
ettevõtlus,11
toetamine,11
erikool,11
õhuruum,11
tsiviilkäive,11
riigimets,11
jälitussõit,11
Lillehammer,11
kõla,11
kobarkino,11
müügikoht,11
sügavus,11
Taebla,11
Edinburgh,11
vestlusring,11
krai,11
kiiluvesi,11
tapamaja,11
treeningmäng,11
üritus,11
ühisavaldus,11
metskond,11
lõppvoor,11
majutusettevõte,11
tiraaž,11
MSN,11
turumajandus,11
nimetus,11
keskerakond,11
treeningulaager,11
müügipunkt,11
kodukord,11
mahl,11
kapsel,11
vanadus,10
mängufilm,10
lossihoov,10
tähtkuju,10
kleit,10
linateos,10
elulugu,10
Lõuna-Ameerika,10
Põhja-Korea,10
Kaug-Ida,10
soon,10
hierarhia,10
prügikast,10
saatesõna,10
õigusteaduskond,10
olevik,10
kirjapilt,10
debatt,10
muutus,10
traditsioon,10
alaosa,10
kirjeldus,10
nukuteater,10
ookean,10
koalitsioonileping,10
arvutus,10
kõnepruuk,10
jaoskond,10
viievõistlus,10
Estorili,10
novembris-detsember,10
vallamaja,10
tõkkesprint,10
koolitund,10
Philadelphia,10
kuurortlinn,10
massimeedia,10
tigu,10
dollar,10
biograafia,10
värve,10
Abhaasia,10
kuule,10
õhtuleht,10
julgeolekunõukogu,10
duuma,10
Kolumbia,10
mererand,10
erakool,10
rahapuudus,10
esirida,10
välitingimus,10
veski,10
ahel,10
ametiasutus,10
põhjustamine,10
kiirabiauto,10
Kunda,10
Oxford,10
Kiviõli,10
põõsas,10
Argentiina,10
portfell,10
Maalehe,10
komitee,10
toidupood,10
Kehra,10
maksupettus,10
Muuseum,10
kohtumaja,10
vallavalitsus,10
põlevkivi,10
Bukarest,10
lisanimekiri,10
eeluurimisvangla,10
hooneregister,10
Tabasalu,10
võistlusprogramm,10
presidendipalee,10
korea,10
konverentsikeskus,10
Muuseumi,10
kutsekool,10
politseikool,10
statu,10
treening,10
andmed,10
kvalifikatsioonisõit,10
Sarajevo,10
aste,10
diagonaal,10
puumaja,10
advokaadibüroo,10
suhtlus,10
ajakava,10
armastus,10
terroriakt,10
lõpuklass,10
eelarveprojekt,10
Espoo,10
džungel,10
Antsla,10
Ventspils,10
käsikiri,10
Katar,10
eesruum,10
üksiksõit,10
mänguhoog,10
Düsseldorf,10
male,10
finaalkohtumine,10
kollektiivleping,10
terminal,10
detsembrikuu,10
infoühiskond,10
tulistamine,10
grupifiniš,10
välisklubi,10
Kristiine,10
noortekeskus,10
karp,10
toimik,10
uudistesaade,10
Indianapolis,10
vabatehnikasõit,10
paanika,10
tehnikaülikool,10
headus,10
perering,10
huviorbiit,10
heaoluühiskond,10
tegevusvaldkond,10
mulla,10
paar,10
reglement,10
supilinn,10
Nigeeria,10
vaat,10
sertifikaat,10
konteiner,10
surnuaed,10
kiirus,10
pott,10
kamp,10
rallimaailm,10
karikafinaal,10
vajadus,10
essee,10
teatis,10
seminar,10
mari,9
kaenal,9
auditoorium,9
taim,9
keeris,9
erafirma,9
valmistamine,9
Moldova,9
kere,9
lepe,9
seaduserikkumine,9
Jerevan,9
reegel,9
kääne,9
kroonika,9
õpe,9
majake,9
preambula,9
käive,9
ühispank,9
EV,9
statistika,9
annus,9
argielu,9
allikas,9
suue,9
hävitamine,9
kolledzh,9
vangistus,9
teleseriaal,9
autoregister,9
F1,9
Tshiili,9
vabatehnika,9
näitemäng,9
Zürich,9
kuur,9
paliveri,9
tshehh,9
vägi,9
probleem,9
Pelgulinn,9
kooslus,9
stress,9
pettus,9
punker,9
sadul,9
Alpid,9
kunstikeskus,9
majandusharu,9
lumesadu,9
annelinn,9
väljapetmine,9
valimisvoor,9
pangarööv,9
valuuta,9
Endla,9
