verb,compound1,compound2,obl,obl_form
edukas,,,raskus,pl in
edukas,,,soolokarjäär,sg in
paluma,,,vend,sg abl
vastama,,,keegi,sg abl
aitama,,,kord,sg p
langema,ära,,puudumine,sg g
sündinud,,,tähtkuju,sg in
teadma,,,Eestimaa,sg ad
hoidma,,,saladus,sg in
hoidma,,,tema,sg all
võimatu,,,telefon,sg abl
võimatu,,,käsi,adt
võimatu,,,päev,pl g
eksisteerima,,,elu,adt
eksisteerima,,,pea,sg in
mäletama,,,punaüritus,sg ad
haldama,,,muu,sg g
haldama,,,algus,sg in
mees,,,eestlane,pl el
mees,,,areen,sg ad
levinud,,,Inglismaa,sg ad
kolima,ära,,Eesti,sg el
kolima,ära,,põhjus,pl ad
teadma,,,Soome,sg in
teadma,,,peit,adt
püüdma,,,turuhind,sg el
tegema,,,mina,pl kom
tegema,,,valdus,pl all
pidama,vastu,,aasta,sg p
mäletama,,,noormees,sg kom
ütlema,,,otsus,sg g
olema,,,tema,pl abl
olema,,,kõik,pl abl
jääma,,,tehing,sg ter
jääma,,,mis,sg kom
jääma,,,rootslane,pl abl
jääma,,,täis,sg kom
jääma,,,ise,sg g
jääma,,,see,sg kom
jääma,,,Grupile,sg n
jääma,,,päev,sg p
võitlema,,,müüt,sg in
võitlema,,,isa,sg ad
võitlema,,,soosing,sg g
võitlema,,,isa,sg kom
võitlema,,,autovõti,pl g
partner,,,lähisuhe,pl in
teadma,,,eluaasta,sg g
teadma,,,kord,pl p
harjuma,,,isa,sg n
harjuma,,,maja,sg kom
harjuma,,,august,sg in
juhatama,,,jooksumüdin,sg g
juhatama,,,tiib,sg g
tugevalt,,,aasta,sg n
tugevalt,,,elu,sg in
tagasi,,,sekund,sg p
see,,,joon,sg g
nimetama,,,sõna,pl ad
veetmine,,,elu,sg in
abiellumine,,,HUGH,?
tahtma,,,järglane,sg el
saamine,,,asi,pl el
jõudma,ette,,mänguklass,sg g
jõudma,ette,,areng,sg el
kuulama,,,õde,pl kom
kuulama,,,koer,sg kom
häbiasi,,,edetabel,sg in
häbiasi,,,koha,sg ad
häbiasi,,,Kaia,sg kom
häbiasi,,,Viin,sg in
saama,,,abielu,sg all
saama,,,veebruar,sg in
saama,,,tema,sg g
saama,,,Draamateater,sg in
nägema,,,reede,sg ad
nägema,,,mustamägi,sg ad
nägema,,,söögipaik,sg in
nägema,,,hääl,pl ad
nägema,,,žest,pl g
kolima,,,paar,sg p
kolima,,,linn,sg p
kolima,,,tali,sg tr
kolima,,,asula,pl all
kolima,,,lumevang,sg p
tegema,ära,,koht,sg g
tegema,ära,,oht,pl el
tegema,ära,,suu,adt
mõte,,,laul,pl kom
pistnud,,,tegutsemisaeg,sg g
pistnud,,,vaenlane,pl kom
lootma,,,tema,sg kom
lootma,,,abielusadam,sg ill
tänulik,,,ise,sg el
tänulik,,,see,sg g
lisama,,,poeg,pl all
mäletama,,,aeg,sg el
töötama,,,tänapäev,sg ter
töötama,,,inimene,pl g
lihtsam,,,see,sg g
minema,,,mis,sg g
minema,,,õng,adt
pöörduma,,,Ines,pl abl
pöörduma,,,saaremägi,sg g
pöörduma,,,kes,pl ad
pöörduma,,,aru,sg all
ebaküps,,,sünd,pl in
muutunud,,,sünd,sg p
elu,,,aasta,sg g
registreerima,,,suurtalu,sg el
registreerima,,,veebruar,sg in
registreerima,,,1958.,?
kolima,,,maja,adt
kolima,,,ühiskorter,sg in
seisma,,,aasta,sg p
tegema,,,tund,pl in
abielluma,,,september,sg in
abielluma,,,muusik,sg g
mina,,,ületöötamine,sg el
tekkima,,,etendus,sg kom
vastama,,,hääl,sg kom
vastama,,,asi,sg kom
liikuma,,,aeg,sg n
käima,läbi,,Emma,sg kom
saama,üle,,see,sg el
vastane,,,tee,sg all
naeratama,,,magus,sg abl
langema,,,Stella,sg g
lõõgastuma,,,see,sg g
lõõgastuma,,,Krissu,sg g
purjetamine,,,mis,sg kom
purjetamine,,,elu,sg p
purjetamine,,,väljaandmine,sg kom
tundma,,,Valter,sg g
tundma,,,nimi,pl g
kohtuma,,,Kati,sg kom
kutsuma,,,eesnimi,sg kom
tegema,,,märts,sg in
tegema,,,Schoolfest,sg ad
nõustuma,,,internetiarvaja,sg kom
kuulma,,,tema,sg g
kuulma,,,Best,sg n
olema,,,mees,sg all
lugema,,,kord,sg p
teadma,,,pea,sg el
aitama,,,argimure,pl el
hoidma,,,värske,sg es
teadma,,,asi,pl all
puuduma,,,silm,pl in
arvama,,,elu,sg in
naeratama,,,sina,sg all
ütlema,,,peatamine,sg tr
kaugel,,,minevik,sg in
puuduma,,,hõõrumine,sg el
lööma,,,poeg,sg all
lööma,,,käpp,sg kom
lööma,,,pea,adt
lööma,,,tema,sg ad
lööma,,,pesa,sg g
tark,,,liider,sg es
tark,,,üdi,sg ter
ajama,edasi,,üksindus,sg in
ajama,edasi,,see,sg p
Beatrice,,,kord,sg p
loobuma,,,suvi,sg ad
loobuma,,,Raul,sg abl
loobuma,,,käsi,adt
loobuma,,,mõte,sg el
tulema,,,mina,sg all
tulema,,,vanus,sg in
tegema,,,vanus,sg in
käima,,,võistkond,sg kom
käima,,,suusamaraton,pl ad
kuuluma,,,ülikooliaeg,sg ad
kuuluma,,,kergejõustikukoondis,sg ill
võimalik,,,kodu,sg in
võimalik,,,õppimine,sg in
saama,,,mina,sg g
kuuluma,,,autovalik,sg ad
kuuluma,,,mobiiltelefon,pl g
kuuluma,,,inglane,pl all
arvama,,,maa,sg g
toitnud,,,vanalinnakodu,sg in
tõdema,,,tema,sg kom
tõdema,,,näitlejanna,sg el
saatma,,,see,sg tr
saatma,,,kord,sg p
saatma,,,vangla,sg ill
tõestanud,,,elu,sg kom
tõestanud,,,asi,sg g
unistama,,,katusekorter,sg el
unistama,,,kõrgelamu,sg in
seletama,,,aktsent,sg ad
milline,,,suguvend,pl g
minema,,,mina,sg ad
abielluma,,,peo,sg g
mõelnud,,,see,sg el
mõelnud,,,tema,sg el
vajuma,,,mina,sg all
vajuma,,,aeg,sg n
vajuma,,,silm,adt
Debbie,,,sina,sg all
maskuliinne,,,mina,sg g
meeldima,,,mina,sg all
poolvend,,,Katar,sg es
sirutama,,,tõestus,sg tr
sirutama,,,Katar,sg es
sirutama,,,kott,sg g
jõudnud,,,hetk,sg tr
vanaisa,,,raha,sg g
vanaisa,,,maa,sg ad
meeldima,,,sina,pl all
meeldima,,,pood,pl in
istuma,,,mina,sg all
pöörama,,,mina,sg all
pöörama,,,hetk,sg ad
elama,läbi,,ise,sg g
uskuma,,,eurovisioon,sg all
saama,,,leping,sg el
saama,,,plaadifirma,sg kom
positiivne,,,aeg,sg p
elama,,,lõpp,sg ter
kohtama,,,teel,
mõtlema,,,rezhissööritöö,sg g
kuulama,,,ilme,sg ad
tulema,,,katastroof,sg in
tulema,,,Berliin,sg in
tulema,,,öö,sg ad
näitama,,,sein,sg all
mina,,,elu,sg in
mina,,,pind,sg ad
arvama,,,poiss,sg ad
arvama,,,elu,sg in
lubama,,,suvitaja,sg es
lubama,,,jalgratas,sg kom
sattuma,,,pidu,sg all
läinud,,,tee,sg p
meeldima,,,mina,sg all
meeldima,,,laps,sg el
meeldima,,,madonna,sg g
andma,välja,,Prantsusmaa,sg ad
laulnud,,,suvefestival,pl ad
laulnud,,,linn,pl in
saama,läbi,,Ines,sg kom
karanud,välja,,vend,sg g
karanud,välja,,eestlane,pl el
jooma,,,kokk,sg g
kohtama,,,publik,sg g
nägema,,,Suurlinn,sg in
jätkama,,,äraelamine,sg tr
jätkama,,,taust,sg g
reibas,,,hääl,sg ad
elama,,,kuu,pl ad
elama,,,ment,pl in
elama,,,Los,?
minema,,,kokkuvõte,sg in
