pat_id,pattern,verb_word,verb_compound,phrase_nr,phrase_case,deprel,adp,inf_verb
66,käima_1 Arg0 (käija),käima,,1,,nsubj,,
67,käima_2 Arg0 (käija),käima,,1,,nsubj,,
68,"käima_3 Arg1 (see, mis toimub)",käima,,1,,nsubj,,
69,suutma_1 Arg0 (suutja),suutma,,1,,nsubj,,
69,suutma_1 Arg1 (tegevus),suutma,,2,,xcomp,,
69,suutma_1 Arg1 (tegevus),suutma,,2,,obj,,
70,tundma_1 Arg0 (tundja),tundma,,1,,nsubj,,
70,tundma_1 Arg1 (teema/stiimul),tundma,,2,,obj,,
70,tundma_1 Arg1 (teema/stiimul),tundma,,2,,ccomp,,
70,tundma_1 Arg_xarg,tundma,,3,,xcomp,,
71,elama_1 Arg0 (elaja),elama,,1,,nsubj,,
71,elama_1 Arg1 (koht),elama,,2,in,obl,,
71,elama_1 Arg1 (koht),elama,,2,ad,obl,,
71,elama_1 Arg2 (kirjeldav objekt),elama,,3,,obj,,
72,muutuma_1 Arg1 (muutuja),muutuma,,1,,nsubj,,
72,muutuma_1 Arg2 (sihtolukord),muutuma,,2,,xcomp,,
73,muutma_1 Arg0 (muutja),muutma,,1,,nsubj,,
73,muutma_1 Arg1 (patsient),muutma,,2,,obj,,
73,muutma_1 Arg2 (sihtolukord),muutma,,3,,xcomp,,
74,toimuma_1 Arg1 (toimuja),toimuma,,1,,nsubj,,
75,pakkuma_1 Arg1 (teema?),pakkuma,,1,,obj,,
75,pakkuma_1 Arg1 (teema?),pakkuma,,1,,ccomp,,
75,pakkuma_1 Arg1 (teema?),pakkuma,,1,,xcomp,,
75,pakkuma_1 Arg2 (saaja/adressaat),pakkuma,,2,all,obl,,
76,töötama_1 Arg1 (kellena),töötama,,1,,xcomp,,
77,maksma_1 Arg0 (maksja),maksma,,1,,nsubj,,
77,maksma_1 Arg2 (kui palju (ma maksan sulle palka kolmsada rubla),maksma,,2,part,obl,,
77,maksma_1 Arg3 (benefitsient/saaja),maksma,,3,all,obl,,
78,"maksma_2 Arg1 (see, mis maksab)",maksma,,1,,nsubj,,
79,tegema_1 Arg0 (tegija),tegema,,1,,nsubj,,
79,tegema_1 Arg1 (patsient),tegema,,2,,obj,,
79,tegema_1 Arg2 (saaja/adressaat),tegema,,3,all,obl,,
79,tegema_1 Arg2 (saaja/adressaat),tegema,,3,ad,obl,,
79,"tegema_1 Arg3 (allikmaterjal, millest tehakse)",tegema,,4,el,obl,,
80,seisma_1 Arg0 (seisja),seisma,,1,,nsubj,,
80,seisma_1 Arg0 (seisja),seisma,,1,,csubj,,
81,liikuma_1 Arg0 (liikuja),liikuma,,1,,nsubj,,
82,sõitma_1 Arg0 (sõitja),sõitma,,1,,nsubj,,
83,lendama_1 Arg0 (lendaja),lendama,,1,,nsubj,,
84,tormama_1 Arg0 (tormaja),tormama,,1,,nsubj,,
84,"tormama_1 Arg1 (sihtkoht, ka tegevus. tormama-l on natuke inhoatiivsust)",tormama,,2,,obl,,
84,"tormama_1 Arg1 (sihtkoht, ka tegevus. tormama-l on natuke inhoatiivsust)",tormama,,2,,advmod,,
84,"tormama_1 Arg1 (sihtkoht, ka tegevus. tormama-l on natuke inhoatiivsust)",tormama,,2,,xcomp,,
85,ronima_1 Arg0 (ronija),ronima,,1,,nsubj,,
86,kõndima_1 Arg0 (kõndija),kõndima,,1,,nsubj,,
87,jooksma_1 Arg0 (jooksja),jooksma,,1,,nsubj,,
88,hüppama_1 Arg0 (hüppaja),hüppama,,1,,nsubj,,
89,tõusma_1 Arg0 (tõusja),tõusma,,1,,nsubj,,
89,tõusma_1 Arg3 (piir: milleni),tõusma,,2,term,obl,,
89,tõusma_1 Arg_xarg,tõusma,,3,,xcomp,,
90,"tekkima_1 Arg1 (see, mis tekib)",tekkima,,1,,nsubj,,
90,tekkima_1 Arg2 (olukorra omaja? patsient?),tekkima,,2,ad,obl,,
91,looma_1 Arg0 (looja),looma,,1,,nsubj,,
91,looma_1 Arg1 (patsient),looma,,2,,obj,,
91,looma_1 Arg2 (benefitsient),looma,,3,all,obl,,
91,looma_1 Arg_xarg,looma,,4,,xcomp,,
92,"vähenema_1 Arg1 (see, mis väheneb)",vähenema,,1,,nsubj,,
92,vähenema_1 Arg2 (benefitsient? väga harv),vähenema,,2,ad,obl,,
93,kasvama_1 Arg1,kasvama,,1,,nsubj,,
94,"suurenema_1 Arg1 (see, mis suureneb)",suurenema,,1,,nsubj,,
95,"langema_1 Arg1 (see, mis langeb)",langema,,1,,nsubj,,
95,langema_1 Arg_xarg,langema,,2,,xcomp,,
96,"kuuluma_1 Arg1 (see, mis kuulub)",kuuluma,,1,,nsubj,,
97,"sõltuma_1 Arg1 (see, mis sõltub)",sõltuma,,1,,nsubj,,
97,"sõltuma_1 Arg2 (millest, kohustuslik argument)",sõltuma,,2,el,obl,,
98,"selguma_1 Arg1 (see, mis selgub)",selguma,,1,,nsubj,,
98,"selguma_1 Arg1 (see, mis selgub)",selguma,,1,,csubj,,
98,selguma_1 Arg2 (selguse allikas? millest selgub),selguma,,2,el,obl,,
98,selguma_1 Arg2 (selguse allikas? millest selgub),selguma,,2,abl,obl,,
98,selguma_1 Arg2 (selguse allikas? millest selgub),selguma,,2,in,obl,,
98,selguma_1 Arg2 (selguse allikas? millest selgub),selguma,,2,gen,obl,põhjal,
99,"juhtuma_1 Arg1 (see, mis juhtub)",juhtuma,,1,,nsubj,,
99,"juhtuma_1 Arg1 (see, mis juhtub)",juhtuma,,1,,csubj,,
99,"juhtuma_1 Arg2 (benefitsient/see, kellega juhtub)",juhtuma,,2,kom,obl,,
99,juhtuma_1 Arg_xarg,juhtuma,,3,,xcomp,,
100,"jagunema_1 Arg1 (see, mis jaguneb)",jagunema,,1,,nsubj,,
100,jagunema_1 Arg3 (kuidas),jagunema,,2,,advmod,,
101,"tunduma_1 Arg1 (see, mis tundub)",tunduma,,1,,nsubj,,
101,"tunduma_1 Arg1 (see, mis tundub)",tunduma,,1,,csubj,,
101,"tunduma_1 Arg2 (benefitsient, kogeja?)",tunduma,,2,all,obl,,
101,"tunduma_1 Arg3 (tundub millena, missugusena, missugune)",tunduma,,3,,xcomp,,
101,"tunduma_1 Arg3 (tundub millena, missugusena, missugune)",tunduma,,3,es,obl,,
102,"kaduma_1 Arg1 (see, mis kaob)",kaduma,,1,,nsubj,,
102,kaduma_1 Arg2 (benefitsient),kaduma,,2,ad,obl,,
102,kaduma_1 Arg_xarg,kaduma,,3,,xcomp,,
103,"ilmuma_1 Arg1 (see, mis ilmub)",ilmuma,,1,,nsubj,,
104,"sattuma_1 Arg1 (see, kes satub)",sattuma,,1,,nsubj,,
105,"puuduma_1 Arg1 (see, mis puudub)",puuduma,,1,,nsubj,,
105,"puuduma_1 Arg2 (omaja, benefitsient)",puuduma,,2,ad,obl,,
106,"saabuma_1 Arg1 (see, mis saabub)",saabuma,,1,,nsubj,,
106,saabuma_1 Arg3 (lähtekoht),saabuma,,2,el,obl,,
106,saabuma_1 Arg3 (lähtekoht),saabuma,,2,gen,obl,käest,
107,"õnnestuma_1 Arg1 (see, mis õnnestub)",õnnestuma,,1,,csubj,,
107,"õnnestuma_1 Arg1 (see, mis õnnestub)",õnnestuma,,1,,nsubj,,
107,"õnnestuma_1 Arg2 (benefitsient, kellel õnnestub)",õnnestuma,,2,ad,obl,,
108,"sobima_1 Arg1 (see, kes/mis sobib)",sobima,,1,,nsubj,,
108,sobima_1 Arg2 (benefitsient ),sobima,,2,all,obl,,
108,sobima_1 Arg3 (sobib milleks/kellele/kuhu/millega/kellega/seda tegema),sobima,,3,,xcomp,,
108,sobima_1 Arg3 (sobib milleks/kellele/kuhu/millega/kellega/seda tegema),sobima,,3,all,obl,,
108,sobima_1 Arg3 (sobib milleks/kellele/kuhu/millega/kellega/seda tegema),sobima,,3,ill,obl,,
108,sobima_1 Arg3 (sobib milleks/kellele/kuhu/millega/kellega/seda tegema),sobima,,3,kom,obl,,
108,sobima_1 Arg3 (sobib milleks/kellele/kuhu/millega/kellega/seda tegema),sobima,,3,gen,obl,kõrvale,
109,"sobima_2 Arg1 (see, mis sobib)",sobima,,1,,nsubj,,
109,"sobima_2 Arg1 (see, mis sobib)",sobima,,1,,csubj,,
109,sobima_2 Arg2 (benefitsient ),sobima,,2,ad,obl,,
110,"kujunema_1 Arg1 (see, mis kujuneb)",kujunema,,1,,nsubj,,
110,"kujunema_1 Arg2 (tulemus, milliseks asi kujuneb)",kujunema,,2,,xcomp,,
110,"kujunema_1 Arg3 (lähteseisund, millest midagi välja kujuneb)",kujunema,,3,el,obl,,
111,"lõppema_1 Arg1 (see, mis lõppeb)",lõppema,,1,,nsubj,,
111,"lõppema_1 Arg2 (millega lõpeb: tee lõppes künkaga, mäng lõpeb viigiga. SAGE)",lõppema,,2,kom,obl,,
