verb,verb_compound,morph_case,ex_count,loc_count,actor_count,time_count,event_count,unk_count,label_count,labels,loc_percent,actor_percent,time_percent,event_percent,unk_percent
kahetsema,,el,3,1,1,1,0,0,3,"('actor', 'loc', 'time')",33.33333333333333,33.33333333333333,33.33333333333333,0.0,0.0
kajastuma,,in,34,26,0,1,1,6,4,"('UNK', 'event', 'loc', 'time')",76.47058823529412,0.0,2.941176470588235,2.941176470588235,17.647058823529413
kaklema,,ad,6,3,1,1,1,0,4,"('actor', 'event', 'loc', 'time')",50.0,16.666666666666664,16.666666666666664,16.666666666666664,0.0
kalduma,,ad,5,2,0,0,0,3,2,"('UNK', 'loc')",40.0,0.0,0.0,0.0,60.0
kalduma,,all,16,8,0,0,0,8,2,"('UNK', 'loc')",50.0,0.0,0.0,0.0,50.0
kamandama,,all,1,1,0,0,0,0,1,"('loc',)",100.0,0.0,0.0,0.0,0.0
kandideerima,,el,10,4,5,0,0,1,3,"('UNK', 'actor', 'loc')",40.0,50.0,0.0,0.0,10.0
kandma,,all,21,17,1,0,0,3,3,"('UNK', 'actor', 'loc')",80.95238095238095,4.761904761904762,0.0,0.0,14.285714285714285
kandma,üle,all,5,2,2,0,0,1,3,"('UNK', 'actor', 'loc')",40.0,40.0,0.0,0.0,20.0
kanduma,,all,25,20,3,1,0,1,4,"('UNK', 'actor', 'loc', 'time')",80.0,12.0,4.0,0.0,4.0
kannatama,,in,24,18,0,2,1,3,4,"('UNK', 'event', 'loc', 'time')",75.0,0.0,8.333333333333332,4.166666666666666,12.5
kaotama,,all,17,14,3,0,0,0,2,"('actor', 'loc')",82.35294117647058,17.647058823529413,0.0,0.0,0.0
kaotama,,in,25,24,0,1,0,0,2,"('loc', 'time')",96.0,0.0,4.0,0.0,0.0
karistama,,in,5,2,0,0,1,2,3,"('UNK', 'event', 'loc')",40.0,0.0,0.0,20.0,40.0
karjuma,,ad,9,6,0,1,0,2,3,"('UNK', 'loc', 'time')",66.66666666666666,0.0,11.11111111111111,0.0,22.22222222222222
karjuma,,el,6,3,1,0,0,2,3,"('UNK', 'actor', 'loc')",50.0,16.666666666666664,0.0,0.0,33.33333333333333
kasseerima,,in,2,2,0,0,0,0,1,"('loc',)",100.0,0.0,0.0,0.0,0.0
kasutama,ära,in,6,5,0,0,0,1,2,"('UNK', 'loc')",83.33333333333334,0.0,0.0,0.0,16.666666666666664
kasvama,,ad,18,5,5,2,2,4,5,"('UNK', 'actor', 'event', 'loc', 'time')",27.77777777777778,27.77777777777778,11.11111111111111,11.11111111111111,22.22222222222222
kasvama,,all,31,16,0,0,0,15,2,"('UNK', 'loc')",51.61290322580645,0.0,0.0,0.0,48.38709677419355
kasvama,välja,el,27,26,0,0,0,1,2,"('UNK', 'loc')",96.29629629629629,0.0,0.0,0.0,3.7037037037037033
kasvatama,,ad,13,5,0,3,1,4,4,"('UNK', 'event', 'loc', 'time')",38.46153846153847,0.0,23.076923076923077,7.6923076923076925,30.76923076923077
kattuma,,el,4,3,0,0,0,1,2,"('UNK', 'loc')",75.0,0.0,0.0,0.0,25.0
kavandama,,all,20,13,4,0,0,3,3,"('UNK', 'actor', 'loc')",65.0,20.0,0.0,0.0,15.0
kavatsema,,in,25,20,0,2,1,2,4,"('UNK', 'event', 'loc', 'time')",80.0,0.0,8.0,4.0,8.0
keelduma,,abl,1,0,1,0,0,0,1,"('actor',)",0.0,100.0,0.0,0.0,0.0
keelduma,,in,16,7,2,1,0,6,4,"('UNK', 'actor', 'loc', 'time')",43.75,12.5,6.25,0.0,37.5
keelustama,,el,1,1,0,0,0,0,1,"('loc',)",100.0,0.0,0.0,0.0,0.0
keerama,ette,ad,5,4,0,1,0,0,2,"('loc', 'time')",80.0,0.0,20.0,0.0,0.0
keerlema,,ad,4,1,0,1,0,2,3,"('UNK', 'loc', 'time')",25.0,0.0,25.0,0.0,50.0
kehtestama,,in,11,9,0,1,0,1,3,"('UNK', 'loc', 'time')",81.81818181818183,0.0,9.090909090909092,0.0,9.090909090909092
kehtima,,ad,30,12,2,5,5,6,5,"('UNK', 'actor', 'event', 'loc', 'time')",40.0,6.666666666666667,16.666666666666664,16.666666666666664,20.0
kerkima,,el,21,10,2,1,2,6,5,"('UNK', 'actor', 'event', 'loc', 'time')",47.61904761904761,9.523809523809524,4.761904761904762,9.523809523809524,28.57142857142857
kestma,,ad,23,12,5,1,1,4,5,"('UNK', 'actor', 'event', 'loc', 'time')",52.17391304347826,21.73913043478261,4.3478260869565215,4.3478260869565215,17.391304347826086
kihutama,,ad,19,11,0,3,0,5,3,"('UNK', 'loc', 'time')",57.89473684210527,0.0,15.789473684210526,0.0,26.31578947368421
kihutama,otsa,ad,1,1,0,0,0,0,1,"('loc',)",100.0,0.0,0.0,0.0,0.0
kihutama,välja,ad,6,5,0,0,0,1,2,"('UNK', 'loc')",83.33333333333334,0.0,0.0,0.0,16.666666666666664
kiirustama,,all,10,7,1,0,0,2,3,"('UNK', 'actor', 'loc')",70.0,10.0,0.0,0.0,20.0
kiitma,,in,19,13,1,0,2,3,4,"('UNK', 'actor', 'event', 'loc')",68.42105263157895,5.263157894736842,0.0,10.526315789473683,15.789473684210526
kindlustama,,in,29,22,0,2,0,5,3,"('UNK', 'loc', 'time')",75.86206896551724,0.0,6.896551724137931,0.0,17.24137931034483
kindlustama,võidu,all,2,2,0,0,0,0,1,"('loc',)",100.0,0.0,0.0,0.0,0.0
kinnitama,,adit,6,5,0,0,0,1,2,"('UNK', 'loc')",83.33333333333334,0.0,0.0,0.0,16.666666666666664
kinnitama,,all,20,11,5,0,0,4,3,"('UNK', 'actor', 'loc')",55.00000000000001,25.0,0.0,0.0,20.0
kinnitama,,el,28,17,4,0,0,7,3,"('UNK', 'actor', 'loc')",60.71428571428571,14.285714285714285,0.0,0.0,25.0
kippuma,,all,17,15,0,0,0,2,2,"('UNK', 'loc')",88.23529411764706,0.0,0.0,0.0,11.76470588235294
kirjutama,,in,25,19,4,1,0,1,4,"('UNK', 'actor', 'loc', 'time')",76.0,16.0,4.0,0.0,4.0
koguma,,in,32,25,2,3,1,1,5,"('UNK', 'actor', 'event', 'loc', 'time')",78.125,6.25,9.375,3.125,3.125
kogunema,,all,35,27,3,1,0,4,4,"('UNK', 'actor', 'loc', 'time')",77.14285714285715,8.571428571428571,2.857142857142857,0.0,11.428571428571429
kogunema,,el,22,16,2,0,0,4,3,"('UNK', 'actor', 'loc')",72.72727272727273,9.090909090909092,0.0,0.0,18.181818181818183
kohama,,ad,7,3,1,1,0,2,4,"('UNK', 'actor', 'loc', 'time')",42.857142857142854,14.285714285714285,14.285714285714285,0.0,28.57142857142857
kohtama,,ad,27,21,2,1,1,2,5,"('UNK', 'actor', 'event', 'loc', 'time')",77.77777777777779,7.4074074074074066,3.7037037037037033,3.7037037037037033,7.4074074074074066
kohtama,,all,2,0,1,0,0,1,2,"('UNK', 'actor')",0.0,50.0,0.0,0.0,50.0
kohtuma,,el,13,3,6,0,1,3,4,"('UNK', 'actor', 'event', 'loc')",23.076923076923077,46.15384615384615,0.0,7.6923076923076925,23.076923076923077
kolima,,in,8,6,0,0,0,2,2,"('UNK', 'loc')",75.0,0.0,0.0,0.0,25.0
kommenteerima,,all,7,3,1,0,1,2,4,"('UNK', 'actor', 'event', 'loc')",42.857142857142854,14.285714285714285,0.0,14.285714285714285,28.57142857142857
kommenteerima,,el,10,3,3,1,0,3,4,"('UNK', 'actor', 'loc', 'time')",30.0,30.0,10.0,0.0,30.0
kontrollima,,el,17,10,1,1,3,2,5,"('UNK', 'actor', 'event', 'loc', 'time')",58.82352941176471,5.88235294117647,5.88235294117647,17.647058823529413,11.76470588235294
koondama,,all,5,3,0,0,1,1,3,"('UNK', 'event', 'loc')",60.0,0.0,0.0,20.0,20.0
koostama,,in,18,11,2,1,0,4,4,"('UNK', 'actor', 'loc', 'time')",61.111111111111114,11.11111111111111,5.555555555555555,0.0,22.22222222222222
korjama,,abl,10,10,0,0,0,0,1,"('loc',)",100.0,0.0,0.0,0.0,0.0
korjama,kokku,abl,4,4,0,0,0,0,1,"('loc',)",100.0,0.0,0.0,0.0,0.0
kuhjuma,,all,3,3,0,0,0,0,1,"('loc',)",100.0,0.0,0.0,0.0,0.0
kujundama,,el,17,8,3,2,0,4,4,"('UNK', 'actor', 'loc', 'time')",47.05882352941176,17.647058823529413,11.76470588235294,0.0,23.52941176470588
kujunema,,el,32,20,4,2,1,5,5,"('UNK', 'actor', 'event', 'loc', 'time')",62.5,12.5,6.25,3.125,15.625
kujutama,,all,24,14,6,0,0,4,3,"('UNK', 'actor', 'loc')",58.333333333333336,25.0,0.0,0.0,16.666666666666664
kukkuma,välja,el,23,22,0,0,0,1,2,"('UNK', 'loc')",95.65217391304348,0.0,0.0,0.0,4.3478260869565215
kulgema,,ad,21,16,0,3,0,2,3,"('UNK', 'loc', 'time')",76.19047619047619,0.0,14.285714285714285,0.0,9.523809523809524
kuluma,,el,23,13,0,1,3,6,4,"('UNK', 'event', 'loc', 'time')",56.52173913043478,0.0,4.3478260869565215,13.043478260869565,26.08695652173913
kutsuma,,el,22,15,4,0,0,3,3,"('UNK', 'actor', 'loc')",68.18181818181817,18.181818181818183,0.0,0.0,13.636363636363635
kutsuma,,in,24,17,1,0,0,6,3,"('UNK', 'actor', 'loc')",70.83333333333334,4.166666666666666,0.0,0.0,25.0
kutsuma,esile,in,19,12,4,1,0,2,4,"('UNK', 'actor', 'loc', 'time')",63.1578947368421,21.052631578947366,5.263157894736842,0.0,10.526315789473683
kuuluma,,all,29,18,11,0,0,0,2,"('actor', 'loc')",62.06896551724138,37.93103448275862,0.0,0.0,0.0
kuuluma,,el,37,18,10,1,2,6,5,"('UNK', 'actor', 'event', 'loc', 'time')",48.64864864864865,27.027027027027028,2.7027027027027026,5.405405405405405,16.216216216216218
kuuluma,,ill,21,20,0,0,0,1,2,"('UNK', 'loc')",95.23809523809523,0.0,0.0,0.0,4.761904761904762
