"word","koht","aeg","seisund","sündmus","other_types"
tunnike,,✓,✓,,
tunnikene,,✓,✓,,
tuntus,,,✓,,omadus_kval
tupiktee,✓,,,,abstr
turiseis,,,✓,,tegevus
turjal,,,✓,,omadus_kval
turjale,,,✓,,omadus_kval
turjalt,,,✓,,omadus_kval
turjapealne,✓,,,,omadus_koht
turnee,,,,✓,tegevus
turuosaline,✓,,,,in_roll
turvapaik,✓,,,,ese_semio
turvateenistus,✓,,,,tegevus
turve,,,✓,,tegevus
tusk,,,✓,,nähtus_psühh
tuubus,✓,,,,ese_instru
tuukriekspeditsioon,,,,✓,tegevus
tuulepagu,✓,,,,nähtus_loodus
tuulevari,✓,,✓,,
tuulik,✓,,,,ese_instru
tuumaarsenal,✓,,,,ese_instru
tuumaelektrijaam,✓,,,,esitus
tuumajaam,✓,,,,esitus
tuumajõujaam,✓,,,,esitus
TuÜ,✓,,,,esitus
tõbi,,,✓,,abstr
tõenäosuslik,,,✓,,omadus
tõmbetuul,,,✓,,nähtus_füüs
tõrjelahing,,,,✓,tegevus_tegu
tõstand,✓,,,,esitus_mõõt
tõus-mõõn,,,✓,,nähtus_loodus
tõvevoodi,,,✓,,ese_instru
täienduskursus,,,,✓,tegevus
täisgaas,,,✓,,tegevus
täisküpsus,,,✓,,omadus
täistabamus,,,,✓,abstr
täisõitsemine,,✓,✓,,
täisõitseng,,✓,✓,,
täitevosakond,✓,,,,inimene
täituvus,,,✓,,omadus
tänavapool,✓,,,,abstr_asend/suund
tänavaraudtee,✓,,,,ese_instru
tänavune,,✓,,,omadus_aeg
tärgeldus,,,✓,,tegevus
tööesi,✓,,,,abstr/konkr
tööiga,,✓,,,abstr
tööjaam,✓,,,,ese_instru
töökool,✓,,,,tegevus
töölõik,✓,,,,tegevus
tööobjekt,✓,,,,ese
tööohutus,,,✓,,abstr/konkr
tööpaik,✓,,,,tegevus
tööpind,✓,,,,ese_instru
tööreis,,,,✓,tegevus
töörinne,✓,,,,tegevus
tööstress,,,✓,,nähtus_psühh
tööstus,✓,,,,vald
töösõit,,,,✓,tegevus
töötleja,✓,,,,in_elukutse
töötuba,✓,,,✓,
tühisus,,,✓,,nähtus
tüng,,,✓,,tegevus
türm,✓,,,,abstr/konkr
tüsistus,,,✓,,nähtus
tütarettevõte,✓,,,,abstr
tütarfirma,✓,,,,abstr
tüüfushaige,,,✓,,in_omadus
uberik,✓,,,,omadus
udumets,✓,,,,taim
ujutus,,,,✓,nähtus_loodus
uksealune,✓,,,,omadus_koht
ukseesine,✓,,,,omadus_koht
ukselävi,✓,,✓,,
uksetagune,✓,,,,omadus_koht
ulakus,,,✓,,tegevus_tegu
ultratriatlon,,,,✓,vald
uluss,✓,,,,in_rahvas
umbharu,✓,,,,abstr/konkr
umbrohtumus,,,✓,,esitus_mõõt
umbrohusus,,,✓,,esitus_mõõt
umbtee,✓,,,,abstr
ummiktee,✓,,,,abstr
ummistus,,,✓,,tegevus
ummistusrünnak,,,,✓,tegevus
ummistusrünne,,,,✓,tegevus
unerähm,,,✓,,materjal/aine
uni,,,✓,,nähtus_psühh
unisoon,,,✓,,nähtus_füüs
uppumissurm,,,,✓,tegevus_tegu
uruauk,✓,,,,kehaosa
usalduskriis,,,✓,✓,
usaldusühing,✓,,,,esitus
UTC,,✓,,,esitus_mõõt
utiil,✓,,,,materjal/aine
utsin,,,✓,,tegevus_tegu
uudismoodustis,,,✓,,esitus_keel
uuk,✓,,,,ese_instru
uure,✓,,,,ese_instru
uurimisala,✓,,,,vald
uurimisreis,,,,✓,tegevus
uurimisretk,,,,✓,tegevus
uuris,✓,,✓,,
uusaasta,,✓,,✓,
uusaastapäev,,✓,,✓,
uusehitus,✓,,,,tegevus
uusmoodustis,,,✓,,esitus_keel
uus must,,,✓,,omadus_kval
uusvasakpoolsus,,,✓,,omadus_kval
UÜ,✓,,,,esitus
vaakumkamber,✓,,,,ese_instru
vaateaken,✓,,,,ese_instru
vaatemäng,,,,✓,tegevus
vaateväli,✓,,,,abstr
vaatluspost,✓,,,,inimene
vaatlusvõrk,✓,,,,inimene
vaatus,,,,✓,ese_kunst
vabadus,,,✓,,abstr
vabajooks,,,✓,,tegevus
vabakäik,,,✓,,tegevus
vabasurm,,,,✓,tegevus_tegu
vabavaht,,✓,,,inimene
vabaõhukino,✓,,,✓,
vabaõhuteater,✓,,,✓,
vaegsoojumus,,,✓,,nähtus
vaesteabi,✓,,,,tegevus
vagu,✓,,,,esitus_mõõt
vahaküps,,,✓,,omadus
vaheala,✓,,,,abstr/konkr
vahefiniš,✓,,,,abstr
vahekohus,✓,,,,in_roll
vaheldus,,,,✓,tegevus
vahelt,,✓,,,abstr
vahepeal,✓,✓,,,
vaheruum,✓,✓,,,
vahetekk,✓,,,,ese_riie
vahetsi,✓,✓,,,
vahetund,,✓,,✓,
vahikord,,✓,,,tegevus
vahtimine,,,✓,,tegevus
vahtkond,✓,,,,inimene
vahtramets,✓,,,,taim
vahtrik,✓,,,,taim
vaigupesa,✓,,,,materjal/aine
vaigutuslõige,✓,,,,tegevus_tegu
vaikusminut,,✓,,✓,
vaimuvald,✓,,,,abstr
vaimuärksus,,,✓,,omadus_psühh
vajak,,,✓,,omadus
vajuk,✓,,,,osa
vaksaliesine,✓,,,,omadus_koht
vakus,✓,,,✓,
valdus,✓,,,,abstr
valdusala,✓,,,,abstr
Valge Maja,✓,,,,inimene
valgmik,✓,,,,ese_instru
valgmikaken,✓,,,,ese_instru
valguskiir,,,✓,,nähtus_füüs
valgustatus,,,✓,,esitus_mõõt
valgustundlik,,,✓,,omadus_füüs
valgustundlikkus,,,✓,,nähtus_füüs
valitsemisohjad,,,✓,,abstr/konkr
valitsusaparaat,✓,,,,in_roll
valitsuskriis,,,✓,✓,
valitsusohjad,,,✓,,abstr/konkr
vallandamine,,,,✓,tegevus
vallutusretk,,,,✓,tegevus
valmisreis,,,,✓,tegevus
valmistaja,✓,,,,in_tegija
valts,✓,,,,ese_instru
valtsliide,✓,,,,ese_instru
valuutafond,✓,,,,ese_raha
valuutaliit,✓,,,,abstr
valvekord,,✓,,,tegevus
valveteenistus,✓,,,,tegevus
vana kuu,,✓,,,nähtus_loodus
vanakuu,,✓,,,nähtus_loodus
vanapõlv,,✓,,,abstr
vandeselts,✓,,,,inimene
vangistus,,,✓,,tegevus
vangitorn,✓,,✓,,
varakapitalism,,✓,,,abstr/konkr
varakristlus,,✓,,,abstr
varakus,,,✓,,ese_raha
vare,✓,,,,in_omadus
vargapesa,✓,,,,ese_instru
varietee,✓,,,✓,
varjamine,,,✓,,tegevus
varsti,,✓,,,ADV_aeg
vasakpoolsus,,,✓,,omadus_kval
vasikaiga,,✓,✓,,
vastasnurk,✓,,,,esitus_kujutis
vastaspool,✓,,,,in_omadus
vastast,✓,,✓,,
vastavus,,,✓,,abstr
vastlakuu,,✓,,,esitus
vastuhakkamine,,,,✓,tegevus
vastulöök,,,,✓,tegevus_tegu
vastunäidustus,,,✓,,nähtus
vastupidavustreening,,,,✓,tegevus
vastupidavustrenn,,,,✓,tegevus
vasturünnak,,,,✓,tegevus_tegu
vastutaja,✓,,,,in_roll
vastutusala,✓,,,,abstr
vastuvõtutund,,✓,,✓,
veatus,,,✓,,omadus_kval
veebr,,✓,,,esitus
veebruar,,✓,,,esitus
veebruarikuu,,✓,,,esitus
vee ja leiva peal,,,✓,,ADV_koht
veejuhe,✓,,,,ese_instru
veejõujaam,✓,,,,esitus
veekalkvel,,,✓,,ADV_seisund
veekalkvele,,,✓,,ADV_seisund
veekiht,✓,,,,materjal/aine
veekogur,✓,,,,ese_instru
veelahe,✓,,,,abstr
veelase,✓,,,,konkr
veelaud,✓,,,,ese_instru
veerandaasta,,✓,,,esitus
veerandmiil,✓,,,,esitus_mõõt
veerest,✓,,,,ADV_koht
veeris,✓,,,,materjal/aine
veesurm,,,,✓,tegevus_tegu
veesõda,,,,✓,tegevus
veetõke,✓,,,,materjal/aine
veeälevil,,,✓,,ADV_seisund
veeälevile,,,✓,,ADV_seisund
vekslimaakler,✓,,,,in_elukutse
vennastus,,,,✓,tegevus
vennatapusõda,,,,✓,tegevus_tegu
ventilatsioonilõõr,✓,,,,ese_instru
verehüüve,,,✓,,materjal/aine
verejooks,,,✓,,nähtus_füüs
vereteenistus,✓,,,,tegevus
verevaesus,,,✓,,omadus_kval
vertikaalasend,,,✓,,abstr_asend/suund
vertikaalne,✓,,,,omadus_füüs
vesiikul,✓,,,,kehaosa
vesikest,✓,,,,kehaosa
veski,✓,,,,ese_instru
vestlusring,,,,✓,tegevus
via crucis,✓,,,✓,
via dolorosa,✓,,,✓,
Victoria,✓,,,,taim
videvik,,✓,✓,,
videvikuaeg,,✓,✓,,
videvikutund,,✓,✓,,
vidus,,✓,✓,,
vigastuspaus,,✓,✓,,
vigiil,,,,✓,in_roll
vigiilia,,,,✓,in_elukutse
vigurmarss,,,,✓,tegevus
vihmamets,✓,,,,taim
viies aastaaeg,,✓,,,nähtus_loodus
viievõistlus,,,,✓,vald
viimane uni,,,✓,,abstr
viinaaur,,,✓,,nähtus_füüs
viinakuu,,✓,,,esitus
viinamonopol,✓,,,,abstr
viinasurm,,,,✓,tegevus_tegu
viinatööstus,✓,,,,vald
viisaruum,✓,,,,abstr
viiulikontsert,,,,✓,ese_kunst
vikariaat,✓,,,,abstr/konkr
vikkel,✓,,,,esitus_kujutis
viletsus,,,✓,,omadus
viletsusepäevad,,✓,✓,,
viletsuspäevad,,✓,✓,,
viljakuivati,✓,,,,ese_instru
viljasalv,✓,,,,ese_anum
viljaveski,✓,,,,ese_instru
vilu,,,✓,,omadus_füüs
vimperg,✓,,,,osa
vine,,,✓,,nähtus_füüs
vinn,,,✓,,ese_instru
vinnastus,,,✓,,tegevus
vintskap,✓,,,,ese_instru
virgumine,,,✓,,tegevus
Viru,✓,,,,omadus_koht
visin,,,✓,,nähtus_füüs
viskejoon,✓,,,,abstr_asend/suund
vitriinaken,✓,,,,ese_instru
vodevill,,,,✓,ese_kunst
volber,,✓,,✓,
volbriöö,,✓,,✓,
voodialune,✓,,,,omadus_koht
voodiase,✓,,,,ese_instru
voodinurk,✓,,,,ese_instru
voolmed,,,✓,,ese_instru
voolutarbija,✓,,,,in_roll
vorstivabrik,✓,,,,abstr
vulva,✓,,,,kehaosa
vundament,✓,,,,abstr/konkr
võidumees,✓,,,,in_omadus
võidupärg,,,,✓,ese
võiduvärav,✓,,,,tegevus
võimeteproov,,,,✓,tegevus
võimuaparaat,✓,,,,in_roll
võimukriis,,,✓,✓,
võimukõnelused,,,,✓,tegevus_kõnetegu
võimuläbirääkimised,,,,✓,tegevus_kõnetegu
võimuohjad,,,✓,,abstr/konkr
võimuorgan,✓,,,,inimene
võistlemine,,,,✓,tegevus
võistlus,,,,✓,nähtus
võistluskalender,,✓,,,abstr/konkr
võistlusnärv,,,✓,,omadus_psühh
võistluspaus,,✓,✓,,
võistluspinge,,,✓,,nähtus_psühh
võistlusreis,,,,✓,tegevus
võistulaulmine,,,,✓,tegevus
võistumängimine,,,,✓,tegevus
võitja,✓,,,,in_omadus
võitlus,,,,✓,tegevus
võitlusväli,✓,,,,abstr
võlaandja,✓,,,,in_omadus
võlanõudja,✓,,,,in_elukutse
võlausaldaja,✓,,,,in_omadus
võlv,✓,,,,kehaosa
võlvialune,✓,,,,omadus_koht
võlvipealne,✓,,,,omadus_koht
võpsik,✓,,,,taim
võrepuur,✓,,,,ese_instru
võrkpalliklubi,✓,,,,in_tegija
võsa,✓,,,,taim
võsaalune,✓,,,,omadus
võsandik,✓,,,,taim
võsastik,✓,,,,taim
võserik,✓,,,,taim
võsik,✓,,,,taim
võtmeala,✓,,,,vald
võtmekoht,✓,,✓,,
võõrandamatus,,,✓,,omadus_kval
võõrusele,✓,,,,ADV_koht
võõrusetendus,,,,✓,tegevus
võõrutusnäht,,,✓,,nähtus
väeliin,✓,,,,tegevus
väeosa,✓,,,,in_roll
väerind,✓,,,,tegevus
väerinne,✓,,,,tegevus
vägivallaaparaat,✓,,,,in_roll
vägivallapuhang,,,,✓,omadus_psühh
vähesus,,,✓,,omadus_kval
vähikatk,,,✓,,loom
väiketarbija,✓,,,,in_roll
väiketööstus,✓,,,,vald
väin,✓,,,,esitus
väitlus,,,,✓,tegevus_kõnetegu
väli,✓,,,,abstr
välibassein,✓,,,,ese_instru
välikino,✓,,,✓,
välilaager,✓,,,✓,
välisilm,✓,,,,nähtus_loodus
väliskest,✓,,,,nähtus_psühh
välismaa,✓,,,,omadus_koht
välismaailm,✓,,,,nähtus_loodus
välismissioon,,,,✓,tegevus
välispiir,✓,,,,abstr
välissõit,,,,✓,tegevus
väljaandmine,,,,✓,tegevus
väljaastumine,,,,✓,tegevus
väljakaevamised,,,,✓,tegevus
väljalangemismäng,,,,✓,tegevus_tegu
väljalangemissüsteem,,,,✓,abstr/konkr
väljalask,✓,,,,tegevus_tegu
väljamarss,,,,✓,tegevus
väljapääsutee,✓,,,,abstr
väljasopistis,✓,,✓,,
väljasopistus,✓,,✓,,
väljasõit,,,,✓,tegevus
väljauhtekiht,✓,,,,materjal/aine
väljavaade,,,✓,,abstr
välkrünnak,,,,✓,tegevus_tegu
väntsutus,,,✓,,tegevus
väravaalune,✓,,,,omadus_koht
väravaesine,✓,,,,omadus_koht
Värska,✓,,,,toit_jook
värvikirevus,,,✓,,omadus_füüs_värv
värviline revolutsioon,,✓,,✓,
väsimus,,,✓,,nähtus_füüs
väss,,,✓,,omadus_kval
vässu,,,✓,,omadus_kval
vööde,✓,,,,kehaosa
vöönd,✓,,,,abstr/konkr
vöötrada,✓,,,,esitus_kujutis
Walpurgi öö,,✓,,✓,
win-win,,,✓,,omadus_kval
woke,,,✓,,omadus_psühh
õhetus,,,✓,,nähtus
õhkkümblus,,,✓,,tegevus_tegu
õhtueha,,✓,,,nähtus_loodus
õhtuhämarik,,✓,✓,,
õhtuhämarus,,✓,✓,,
õhtukuma,,✓,,,nähtus_loodus
õhtuline,,,,✓,toit
õhtupoolis,,,,✓,toit
õhtupuna,,✓,,,nähtus_loodus
õhtuvidevik,,✓,✓,,
õhuauk,✓,,,,nähtus_füüs
õhuke rahakott,,,✓,,omadus_kval
õhulõõr,✓,,,,ese_instru
õhulöök,,,,✓,tegevus_tegu
õhureis,,,,✓,tegevus
õhureostus,,,✓,,tegevus
õhurünnak,,,,✓,tegevus_tegu
õhusaaste,,,✓,,tegevus
õhuvann,,,✓,,tegevus_tegu
õieaeg,,✓,,,ADV_aeg
õieehtes,,,✓,,ADV_viis
õies,,,✓,,omadus_psühh
õiglane üleminek,,,,✓,tegevus
õigusinstituut,✓,,,,abstr/konkr
õigusjõud,,,✓,,omadus_kval
õigusjärglane,✓,,,,in_roll
õiguskaitseorgan,✓,,,,inimene
õigusorgan,✓,,,,in_roll
õigusruum,✓,,,,abstr
õitsel,,,✓,,ADV_viis
õitsemisaeg,,✓,,,ADV_aeg
õitseng,,✓,✓,,
õlgmik,✓,,,,ese_instru
õlitase,,,✓,,omadus_füüs
õlleaur,,,✓,,nähtus_füüs
õllesoe,,,✓,,omadus
õlletööstus,✓,,,,vald
õnnemaa,✓,,✓,,
õnnepõli,,✓,✓,,
õnnepõlv,,✓,✓,,
õnnistamispäev,,✓,,✓,
õpikeskkond,✓,,,,ese_semio
õpitud abitus,,,✓,,nähtus
õppelaskmine,,,,✓,tegevus
õppepäev,,✓,,✓,
õppereis,,,,✓,tegevus
õppetund,,,,✓,nähtus_psühh
õu,✓,,,,inimene
õueaed,✓,,,,ese_instru
õuepealne,✓,,,,omadus_koht
õueteater,✓,,,✓,
ädal,✓,,,,taim
ägedus,,,✓,,abstr/konkr_omadus
ähmi,,,✓,,ADV_seisund
ähmil,,,✓,,ADV_seisund
ähmis,,,✓,,ADV_seisund
ähmi täis,,,✓,,ADV_seisund
äkksurm,,,,✓,nähtus_loodus
äng,,,✓,,nähtus_psühh
ängistus,,,✓,,nähtus_psühh
ängistustunne,,,✓,,nähtus_psühh
ärajäämanäht,,,✓,,nähtus
äratussignaal,,,,✓,nähtus_füüs
äriingel,✓,,,,in_roll
ärireis,,,,✓,tegevus
äririsk,,,✓,,nähtus
ärisõber,✓,,,,in_roll
ärksameelsus,,,✓,,omadus_psühh
ärksus,,,✓,,omadus_psühh
ääreala,✓,,,,abstr
äärest,✓,,,,ADV_koht
ääristus,✓,,,,ese_instru
äärne,✓,,,,omadus_koht
ökoloogia,,,✓,,vald
öö,,✓,,,esitus_keel_täht
ööoode,,,,✓,toit
ööpime,,,✓,,omadus_füüs
ööpool,✓,,,,nähtus_psühh
öövahetus,,✓,,,inimene
öövalve,,✓,,,tegevus
ühendustee,✓,,,,nähtus_psühh
ühepäevasõit,,,,✓,tegevus_tegu
üheslaulmine,,,,✓,tegevus
ühesuvine,,✓,,,omadus
ühisettevõte,✓,,,,tegevus_tegu
ühisproov,,,,✓,tegevus_tegu
ühissaun,✓,,,,tegevus
ühistu,✓,,,,esitus
ühisvaldus,✓,,✓,,
ühtivus,,,✓,,abstr
üksikmatus,,,,✓,objekt
üksikvangistus,,,✓,,tegevus
üksildus,,,✓,,nähtus_psühh
üksildustunne,,,✓,,nähtus_psühh
üksus,✓,,,,abstr/konkr
ülalpool,✓,,,,ADV_koht
üldanesteesia,,,✓,,tegevus_tegu
üldjuht,,,,✓,in_roll
üldnarkoos,,,✓,,tegevus_tegu
üldtuimastus,,,✓,,tegevus_tegu
üleeilne,,✓,,,omadus_aeg
ülehomne,,✓,,,omadus_aeg
ülejahtumine,,,✓,,nähtus
ülekaal,,,✓,,omadus_füüs
ülekohus,,,✓,,tegevus_tegu
ülekuumenemine,,,,✓,nähtus
ülemeelikus,,,✓,,tegevus_tegu
üleminev,,✓,,,omadus_aeg
ülemöödunud,,✓,,,omadus_aeg
ülendus,,,✓,,tegevus_muutus
üleolek,,,✓,,nähtus_psühh
ülepääs,✓,,,,tegevus
ülespoole,✓,,,,abstr
ülesõit,✓,,,,tegevus
ületöötamine,,,✓,,tegevus
ülevalpool,✓,,,,ADV_koht
ülikoolikursus,,,,✓,ese_semio
ülimus,,,✓,,in_roll
ülitundlikkus,,,✓,,nähtus_psühh
üliõpilaskorporatsioon,✓,,,,grupp
üliõpilasorganisatsioon,✓,,,,inimene
üliõpilaspäevad,,✓,,✓,
üllatusmoment,,✓,,✓,
ülle,✓,,,,ADV_koht
ült,✓,,,,ADV_koht
ümaraken,✓,,,,kehaosa
ümarlaiksus,,,✓,,taim
ümarlaud,,,,✓,in_roll
ümbermaailmareis,,,,✓,tegevus
ümberringi,✓,,,,ADV_koht
ümbert,✓,,,,ADV_viis
ümbritsev,✓,,,,omadus_koht
ürglaas,✓,,,,taim
ürgmets,✓,,,,taim
üritus,,,,✓,tegevus_tegu
üsk,✓,,,,kehaosa
üürileandja,✓,,,,in_roll
üürilevõtja,✓,,,,in_roll
x-jalad,,,✓,,kehaosa
x-jalgne,,,✓,,omadus
