"word","koht","aeg","seisund","sündmus","other_types"
fraktsioon,✓,,,,materjal/aine
fraktuur,,,✓,,esitus
framuug,✓,,,,ese_instru
frontispiss,✓,,,,ese_semio
föderaalriik,✓,,,,abstr/konkr
füül,✓,,,,inimene
gaala,,,,✓,omadus_abstr
gaasikamber,✓,,,,ese_instru
gaasimaardla,✓,,,,materjal/aine
gaasiplahvatus,,,,✓,nähtus_füüs
gala,,,,✓,omadus_abstr
gallup,,,,✓,tegevus
galopivõidusõit,,,,✓,tegevus
ganglion,,,✓,,objekt_loodus
garantiiparandus,✓,,,,tegevus
gasell,✓,,,,loom
gastroll,,,,✓,tegevus
gastronoom,✓,,,,in_elukutse
geenirike,,,✓,,nähtus_loodus
geograafia,✓,,,,vald
geograafiline laius,✓,,,,esitus_mõõt
geograafiline pikkus,✓,,,,esitus_mõõt
georetk,,,,✓,tegevus
gerilja,,,,✓,in_tegija
gletšer,✓,,,,nähtus_loodus
glämping,✓,,,,abstr/konkr
glüptoteek,✓,,,,ese_kunst
gneiss,,,✓,,materjal/aine
Gorgonzola,✓,,,,toit
graviidne,,,✓,,omadus_füüs
greenroom,✓,,,,osa
Greenwichi aeg,,✓,,,esitus_mõõt
grupimõtlemine,,,✓,,nähtus_psühh
haarang,,,,✓,tegevus_tegu
haav,,,✓,,nähtus_psühh
haavamets,✓,,,,taim
haavik,✓,,,,taim
Hades,✓,,,,in_müt
haigevoodi,,,✓,,ese_instru
haistmisvõimetus,,,✓,,nähtus_loodus
hajala,,,✓,,inimene
hajevil,,,✓,,ADV_viis
hajevile,,,✓,,ADV_viis
hakatus,,✓,,,ese
hakatusel,,✓,,,ADV_põhjus
hakkamasaamine,,,✓,,abstr
haldusaparaat,✓,,,,in_roll
haldusarest,,,✓,,abstr/konkr
haldustrahv,,,✓,,abstr/konkr
haldusüksus,✓,,,,abstr/konkr
haljastus,✓,,,,tegevus
hambaalune,✓,,,,toit
hambaauk,,,✓,,objekt_loodus
hambamurre,,,,✓,tegevus_muutus
hambavahetus,,,,✓,tegevus_muutus
hambavalu,,,✓,,nähtus_psühh
hambus,,,✓,,abstr_asend/suund
hammustus,,,✓,,tegevus_tegu
hankija,✓,,,,in_elukutse
hapnikutarve,,,✓,,abstr/konkr
hapnikuvajadus,,,✓,,abstr/konkr
happening,,,,✓,ese_kunst
haruliit,✓,,,,in_roll
hauarahu,,,✓,,abstr/konkr
haud,✓,,,✓,
heakord,,,✓,,abstr/konkr
heakorrastus,,,✓,,tegevus
heaolutunne,,,✓,,nähtus_psühh
heinakaar,✓,,,,taim
HEJ,✓,,,,esitus
hej,✓,,,,esitus
hekatomb,,,,✓,tegevus_tegu
heliarhiiv,✓,,,,ese
hellenism,,✓,,,esitus_keel
hemolüüs,,,✓,,nähtus
hiaatus,✓,,,,esitus_keel
hiidkasv,,,✓,,omadus_füüs
hiinakas,✓,,,,ese_instru
hiljemini,,✓,,,ADV_aeg
hingats,✓,,,,kehaosa_loom
hingedekuu,,✓,,,esitus
hingeliigutus,,,✓,,nähtus_psühh
hingestatus,,,✓,,omadus_psühh
hingetõmbeaeg,,✓,,✓,
hingetõmbepaus,,✓,,✓,
hinnaralli,,,,✓,tegevus
hirmujudin,,,✓,,nähtus_psühh
hirmuvabin,,,✓,,nähtus_psühh
hirmuvõpatus,,,✓,,nähtus_psühh
hirmuvärin,,,✓,,nähtus_psühh
Hispaania gripp,,,✓,,nähtus_loodus
histooria,,✓,,,vald
hoburaudkaar,✓,,,,osa
hobuserautamine,,,✓,,tegevus
hobuserautus,,,✓,,tegevus
hobuveski,✓,,,,ese_instru
hoiustus,✓,,,,tegevus
hommikuhämar,,✓,✓,,
hommikuhämarik,,✓,✓,,
hommikuhämarus,,✓,✓,,
hommikuoode,,,,✓,toit
hommikupoolne,✓,,,,omadus_aeg
homne,,✓,,,omadus_aeg
homofoobia,,,✓,,nähtus_psühh
homoviha,,,✓,,nähtus_psühh
hoov,✓,,,,inimene
hoovipealne,✓,,,,omadus_koht
hukatus,,,✓,,abstr/konkr_omadus
hulgiostja,✓,,,,in_tegija
hullumaja puhvet,,,✓,,esitus_keel_suhtlus
hullumeelsus,,,✓,,tegevus_tegu
hullus,,,✓,,nähtus_psühh
humanitaarkatastroof,,,✓,✓,
humanitaarkriis,,,✓,✓,
hundiaju,,,,✓,tegevus
hundijaht,,,,✓,tegevus
hundikuu,,✓,,,esitus
huvipuudus,,,✓,,nähtus_psühh
hõbepulm,,✓,,✓,
hõlma all,,,✓,,ADV_koht
hõlma alla,,,✓,,ADV_koht
hõlma alt,,,✓,,ADV_koht
hõrendik,✓,,,,taim
häbe,✓,,,,kehaosa
häbiasi,,,✓,✓,
häbilugu,,,✓,✓,
häbistus,,,✓,,tegevus
hällipäev,,✓,,✓,
hällist peale,✓,,,,abstr/konkr
hälve,,,✓,,omadus_kval
hämarik,,,✓,,nähtus_loodus
hämarus,,,✓,,nähtus_loodus
