"word","semantic_types"
Andsumäe,KOHT
aneemia,SEISUND
Anelema,KOHT
anentsefaalia,SEISUND
Anepesa,KOHT
aneurüsm,SEISUND
anfilaad,KOHT
angaar,KOHT
Angara,KOHT
Angarsk,KOHT
Angerja,KOHT
angiin,SEISUND
angioneuroos,SEISUND
angioom,SEISUND
angiospasm,SEISUND
angiostenoos,SEISUND
Ângkôr,KOHT
Angla,KOHT
Anglesey,KOHT
Angloameerika,KOHT
anglosaksi maad,KOHT
Angola,KOHT
Anguilla,KOHT
Angus,KOHT
Anguse,KOHT
Anhui,KOHT
Anija,KOHT
Anijala,KOHT
Anikatsi,KOHT
Anjou,KOHT
Ankara,KOHT
ankrukoht,KOHT
ankrupaik,KOHT
ankrus,SEISUND
ankurüürnik,KOHT
anküloos,SEISUND
Anna,KOHT
Annaba,KOHT
Annam,KOHT
Annapolis,KOHT
Annapurna,KOHT
Anne,KOHT
Annelinn,KOHT
annepäev,AEG
Annikoru,KOHT
Annikvere,KOHT
anno,AEG
anno Domini,AEG
anoomia,SEISUND
anoreksia,SEISUND
ansambliteater,KOHT
Ansbach,KOHT
Anseküla,KOHT
Ansi,KOHT
ANSV,KOHT
Antalya,KOHT
Antananarivo,KOHT
Antant,KOHT
Antarktika,KOHT
Antarktis,KOHT
Antiatlas,KOHT
Antigua ja Barbuda,KOHT
antiigipood,KOHT
antiikaeg,AEG
antiikajastu,AEG
Antiik-Kreeka,KOHT
antiikmaailm,KOHT
antiikmängud,sündmus
antiikolümpiamängud,sündmus
antiklinaal,KOHT
antikvariaat,KOHT
Antiliibanon,KOHT
Antillid,KOHT
Antkruva,KOHT
antrakoos,SEISUND
antraks,SEISUND
Antrea,KOHT
Antrim,KOHT
antropogeen,AEG
antropotseen,AEG
Antsla,KOHT
Antsu,KOHT
Antwerpen,KOHT
anuuria,SEISUND
Ao,KOHT
aoaeg,AEG
aolinn,KOHT
Aomen,KOHT
aordiahend,SEISUND
aortiit,SEISUND
Aovere,KOHT
AP,KOHT
apaatia,SEISUND
apaatsus,SEISUND
Apalatšid,KOHT
Apandiku,KOHT
apartement,KOHT
apellatsioonikohus,KOHT
apenditsiit,SEISUND
Apenniini,KOHT
Apenniinid,KOHT
Apenniini poolsaar,KOHT
apepsia,SEISUND
apertuur,KOHT
Apia,KOHT
Apja,KOHT
aplaasia,SEISUND
aplaava,sündmus
apnoe,SEISUND
apopleksia,SEISUND
appellation,KOHT
aprillimäss,sündmus
aprillirahutus,sündmus
apsiid,KOHT
apteegikett,KOHT
apteegivõrk,KOHT
Apuulia,KOHT
Araabia,KOHT
Araabia Ida,KOHT
araabia kevad,sündmus
Araabia Liiga,KOHT
Araabia Lääs,KOHT
Araabia maad,KOHT
araabia maad,KOHT
Araabia meri,KOHT
Araabia poolsaar,KOHT
Araabia riigid,KOHT
araabia riigid,KOHT
Araabia Ühendemiraadid,KOHT
Araal,KOHT
Araali meri,KOHT
Arafura meri,KOHT
Aragón,KOHT
Aragvi,KOHT
arahnoidiit,SEISUND
Araks,KOHT
Arandi,KOHT
Aranküla,KOHT
Ararat,KOHT
Arase,KOHT
Araski,KOHT
Araste,KOHT
Arava,KOHT
Aravere,KOHT
Aravete,KOHT
Aravu,KOHT
Aravuse,KOHT
Arbavere,KOHT
Arbīl,KOHT
arbitraažikohus,KOHT
arboreetum,KOHT
Ardennid,KOHT
Ardla,KOHT
Ardu,KOHT
Are,KOHT
areaal,KOHT
arenduskeskus,KOHT
arenenud maa,KOHT
arenenud riik,KOHT
arenguhäire,SEISUND
arengumaa,KOHT
arengupuue,SEISUND
arenguriik,KOHT
areopaag,KOHT
Aresi,KOHT
aresti all,SEISUND
aresti alla,SEISUND
aresti alt,SEISUND
arestikamber,KOHT
arestimaja,KOHT
aretusaed,KOHT
aretusjaam,KOHT
aretusühing,KOHT
Argentiina,KOHT
Argentina,KOHT
argielu,SEISUND
argihall,SEISUND
argihallus,SEISUND
Argonne,KOHT
Argun,KOHT
arhaikum,AEG
Arhangelsk,KOHT
arheosoikum,AEG
arhiivraamatukogu,KOHT
arhipelaag,KOHT
arhitektuuriansambel,KOHT
arhitektuuribüroo,KOHT
arhitektuurimälestis,KOHT
arhitektuuripärl,KOHT
arhivolt,KOHT
Århus,KOHT
Ariste,KOHT
Ariste laht,KOHT
Arisvere,KOHT
Arizona,KOHT
Arjadi,KOHT
Arjassaare,KOHT
arjergard,KOHT
Arju,KOHT
ARK,KOHT
arkaad,KOHT
Arkaadia,KOHT
arkaadkäik,KOHT
Arkansas,KOHT
arkatuur,KOHT
Arkma,KOHT
Arkna,KOHT
Arktika,KOHT
Armagh,KOHT
armastusabielu,SEISUND
armastuskolmnurk,SEISUND
Armavir,KOHT
Armeenia,KOHT
armetus,SEISUND
armisong,SEISUND
armkasvaja,SEISUND
armuaeg,AEG
armuiha,SEISUND
armujoovastus,SEISUND
armukadeduspiin,SEISUND
armukirg,SEISUND
armukolmnurk,SEISUND
armulugu,sündmus
armupiin,SEISUND
Arno,KOHT
Arossa,KOHT
Ar-Riyāḑ,KOHT
arseenimürgistus,SEISUND
arseenimürgitus,SEISUND
arstiaeg,AEG
arstikabinet,KOHT
arstil käik,sündmus
arstilkäik,sündmus
arstipunkt,KOHT
arstivisiit,sündmus
Arzamass,KOHT
artell,KOHT
Artemivsk,KOHT
arteriaalne hüpertensioon,SEISUND
arteriit,SEISUND
arterioskleroos,SEISUND
arteripõletik,SEISUND
artikulatsioonibaas,SEISUND
Artjomovsk,KOHT
artriit,SEISUND
artroos,SEISUND
Artsahh,KOHT
Artshahh,KOHT
