"word","code"
agnaat,in_sugulane
agnostik,in_roll
agnostitsism,vald
agonaalne,omadus_kval
agonist,kehaosa
agoogika,nähtus_füüs
agoon,tegevus_mäng
agooniline,omadus_psühh
agorafoob,in_omadus
agraafia,nähtus_psühh
agraar,omadus
agraarajalugu,vald
agraar-industriaalne,omadus_kval
agraarkord,abstr/konkr
agraarne,omadus
agraarpoliitika,abstr/konkr
agraarreform,abstr/konkr
agraarõigus,abstr/konkr
agraarühiskond,abstr/konkr
agregaatima,VERB_tegevus
agregaatolek,nähtus_füüs
agregaator,ese_semio
agregateerima,VERB_tegevus
agregeerima,VERB_tegevus
agressiooniakt,tegevus_tegu
agressioonioht,nähtus_psühh
agressor,konkr_omadus
agressorriik,konkr_omadus
agro,omadus
agroindustriaalne,omadus_kval
agrokeemia,vald
agroklimaatiline,omadus
agromelioratsioon,vald
agrometeoroloogia,vald
agronoomia,vald
agronoomiline,omadus_kval
agrotehnika,abstr/konkr
agroturism,vald
agrotööstuslik,omadus_kval
agroökosüsteem,abstr/konkr
agulilaps,in_roll
agulirahvas,inimene
agulistuma,VERB_muutus
aguuti,loom
ah,esitus_keel_suhtlus
ahaa,esitus_keel_suhtlus
ahah,esitus_keel_suhtlus
ahahaa,nähtus_füüs
ah-ah-ah,nähtus_füüs
ah-ah-haa,nähtus_füüs
ahahhitama,VERB_suhtlus
ahastama,VERB_psühh
ahastavalt,ADV_viis
ahastus,nähtus_psühh
ahastuslik,omadus_psühh
ahav,nähtus_loodus
ahe,materjal/aine
ahelataoline,omadus_füüs
aheldama,VERB_tegevus
ahelindeks,esitus_mõõt
aheljas,omadus_füüs
aheljoon,esitus_kujutis
aheljäreldus,abstr
ahelkiri,ese_semio
ahelkokk,organism
ahellaul,ese_semio
ahelliitsõna,esitus_keel
ahelliitum,esitus_keel
ahelmurd,esitus_info
ahelpind,esitus_kujutis
ahelsild,ese_instru
ahelsilmus,ese_riie
ahelsuitsetaja,in_omadus
ahelsuitsetama,VERB_tegevus
aheltegusõna,esitus_keel
ahelverb,esitus_keel
ahelvõrrand,esitus_info
ahenema,VERB_muutus
aheraine,materjal/aine
aherainemägi,objekt
aherkivim,materjal/aine
ahermaak,materjal/aine
ahetama,VERB_nähtus
ahh,esitus_keel_suhtlus
ah-haa,esitus_keel_suhtlus
ahhaa,esitus_keel_suhtlus
ahhaa-efekt,nähtus_psühh
ahhaa-elamus,nähtus_psühh
ahhaat,materjal/aine
ahhaatama,VERB_suhtlus
ahhailane,in_rahvas
ahhetus,tegevus_kõnetegu
ahi,ese_instru
ahimsa,abstr
ahin,nähtus_psühh
ahing,ese_instru
ahingupüük,tegevus
ahinsa,abstr
ahistaja,in_tegija
ahistav,omadus_psühh
ahistavalt,ADV_viis
ahistustunne,nähtus_psühh
ahjaa,esitus_keel_suhtlus
ahjuhark,ese_instru
ahjujäätis,toit
ahjukana,toit
ahjukartul,toit
ahjukartulid,toit
ahjukivi,ese
ahjukuum,omadus
ahjukülg,ese_instru
ahjukütus,materjal/aine
ahjuliha,toit
ahjuluud,ese_instru
ahjulõhe,toit
ahjulõõr,ese_instru
ahjumeister,in_elukutse
ahjumüür,ese_instru
ahjupaiste,omadus_füüs
ahjupann,ese_anum
ahjupiim,toit
ahjupink,ese
ahjuplaat,ese_anum
ahjupraad,toit
ahjupõrand,ese
ahjuroog,toit
ahjuroop,ese_instru
ahjusiiber,ese_instru
ahjusuu,ese_instru
ahjutegija,in_omadus
ahjutellis,ese
ahjutoit,toit
ahjutäis,kogus
ahjuvärske,omadus_kval
ahke,ese_instru
ahkju,ese_instru
ahm,loom
ahmitsema,VERB_tegevus
ahne,omadus_kval
ahnelt,ADV_viis
ahnesti,ADV_viis
ahnitseja,in_omadus
ahnitsema,VERB_tegevus
ahnur,in_omadus
ahnus,omadus_kval
ahnusinflatsioon,nähtus
ahoi,esitus_keel_suhtlus
ahtalehine,omadus_füüs
ahtalt,ADV_viis
ahtehark,ese_instru
ahtertraaler,ese_instru
ahtertääv,ese_instru
ahtma,VERB_tegevus
ahtriankur,ese_instru
ahtrilipp,ese_instru
ahtripeegel,ese_instru
ahtrituli,ese_instru
ahtruma,VERB_muutus
ahtuma,VERB_muutus
ahtushäälik,esitus_keel
ahvatis,abstr/konkr_omadus
ahvatlus,nähtus_psühh
ahvenapoeg,loom_kala
ahvenapüük,tegevus
ahviarmastus,abstr/konkr
ahvikiirusega,nähtus
ahvikiirusel,nähtus
ahvileivapuu,taim
ahvilik,omadus_füüs
ahviline,loom
ahvima,VERB_suhtlus
ahvimõnu,nähtus_psühh
ahvinahk,ese_riie
ahvinimene,inimene
ahviraudtee,ese_instru
aiahark,ese_instru
aiahoolik,in_omadus
aiakamin,ese_instru
aiakiik,ese
aiakunst,vald
aiakäru,ese_instru
aiakäärid,ese_instru
aialatern,ese_instru
aialatt,ese
aialaud,ese_instru
aialill,taim_liik
aialinnuvaatlus,tegevus
aialipp,materjal/aine
aiamari,toit_vili
aiamuld,materjal/aine
aiamuru,taim
aiamööbel,ese_instru
aiamüür,ese
aiandusagronoom,in_elukutse
aiandusarhitekt,in_elukutse
aianduslik,omadus_kval
aiandusteadlane,in_elukutse
aiandusteadus,vald
