Column1,collection,morph,experiment,model,source,split,LAS
564,est_ud,am,3.2,udpipe,train,2,0.8855
565,est_ud,am,3.2,udpipe,test,2,0.8178
566,est_ud,am,3.2,udpipe,train,3,0.8818
567,est_ud,am,3.2,udpipe,test,3,0.8171
568,est_ud,am,3.2,udpipe,train,4,0.8761
569,est_ud,am,3.2,udpipe,test,4,0.8088
570,est_ud,am,3.2,udpipe,train,5,0.8835
571,est_ud,am,3.2,udpipe,test,5,0.815
572,est_ud,am,3.2,udpipe,train,6,0.8893
573,est_ud,am,3.2,udpipe,test,6,0.8194
574,est_ud,am,3.2,udpipe,train,7,0.8792
575,est_ud,am,3.2,udpipe,test,7,0.815
576,est_ud,am,3.2,udpipe,train,8,0.8897
577,est_ud,am,3.2,udpipe,test,8,0.8188
578,est_ud,am,3.2,udpipe,train,9,0.8866
579,est_ud,am,3.2,udpipe,test,9,0.8175
580,edt,am,3.2,malt,train,0,0.926
581,edt,am,3.2,malt,test,0,0.842
582,edt,am,3.2,malt,train,1,0.926
583,edt,am,3.2,malt,test,1,0.835
584,edt,am,3.2,malt,train,2,0.926
585,edt,am,3.2,malt,test,2,0.845
586,edt,am,3.2,malt,train,3,0.926
587,edt,am,3.2,malt,test,3,0.84
588,edt,am,3.2,malt,train,4,0.926
589,edt,am,3.2,malt,test,4,0.838
