pat_id,verb_word,verb_compound,phrase_case,adp,inf_verb,verb_occurrence_count,absolute_support,relative_support
994,leevendama,,part,,,1885,1536,81.48541114058355
752,koordineerima,,part,,,1320,1075,81.43939393939394
1918,tasustama,,part,,,43,35,81.3953488372093
199,esindama,,part,,,15129,12280,81.16861656421442
2337,võimendama,,part,,,1135,921,81.1453744493392
2159,valdama,,part,,,5597,4540,81.11488297302127
904,hoidma,kõrvale,el,,,453,367,81.01545253863135
855,käsitsema,,part,,,63,51,80.95238095238095
110,baseeruma,,ad,,,875,708,80.91428571428571
2504,pidama,üleval,part,,,52,42,80.76923076923077
87,asenduma,,kom,,,2151,1737,80.75313807531381
490,minema,kaasa,kom,,,1827,1473,80.623973727422
2369,võõrutama,,el,,,67,54,80.59701492537313
1974,tolereerima,,part,,,36,29,80.55555555555556
1788,spetsialiseeruma,,all,,,1189,956,80.40370058873002
787,kujutama,,part,,,13096,10522,80.34514355528405
1930,teenindama,,part,,,2829,2271,80.27571580063628
1432,piirnema,,kom,,,552,443,80.2536231884058
206,esitlema,,part,,,4840,3881,80.18595041322314
1283,nõudma,,part,,,60685,48552,80.00659141468238
910,puiklema,kõrvale,el,,,15,12,80
1202,manööverdama,mööda,el,,,5,4,80
2258,vaatama,viltu,all,,,20,16,80
60,apelleerima,,all,,,264,211,79.92424242424242
274,harrastama,,part,,,1982,1583,79.86881937436932
912,põiklema,kõrvale,el,,,144,115,79.86111111111111
455,jäljendama,,part,,,411,328,79.80535279805353
132,distantseeruma,,el,,,302,241,79.80132450331125
2515,käima,ümber,kom,,,300,239,79.66666666666666
1637,samastuma,,kom,,,270,215,79.62962962962963
1307,omama,,part,,,11606,9227,79.50198173358608
1121,matkima,,part,,,361,287,79.50138504155125
1944,tervitama,,part,,,5975,4738,79.2970711297071
2347,võlgnema,,all,,,1905,1506,79.05511811023622
1676,seletuma,,kom,,,143,113,79.02097902097903
2356,võrduma,,kom,,,3038,2392,78.73601053324556
999,leppima,,kom,,,5193,4087,78.70209897939534
2471,libisema,üle,el,,,89,70,78.65168539325843
1874,otsima,taga,part,,,971,763,78.57878475798145
141,edendama,,part,,,824,647,78.51941747572816
272,harmoneeruma,,kom,,,223,175,78.47533632286996
1464,poputama,,part,,,116,91,78.44827586206897
1133,mehkeldama,,kom,,,51,40,78.43137254901961
162,eitama,,part,,,8953,7018,78.38713280464648
2239,vihkama,,part,,,3902,3057,78.3444387493593
2122,vaatlema,,part,,,2262,1770,78.24933687002653
1699,seostuma,,kom,,,3080,2410,78.24675324675324
1342,jõllitama,otsa,all,,,32,25,78.125
2482,saama,üle,el,,,2910,2272,78.07560137457045
1962,toetama,,part,,,48142,37586,78.07320011632255
22,alandama,,part,,,2641,2060,78.00075728890572
10,ahistama,,part,,,1378,1072,77.79390420899854
1399,nägema,pealt,part,,,810,630,77.77777777777779
2221,vehkima,,kom,,,1501,1164,77.54830113257827
344,hööritama,,part,,,89,69,77.52808988764045
1554,pühendama,,all,,,2708,2099,77.51107828655834
342,hõlmama,,part,,,11091,8595,77.49526643224236
675,koguma,,part,,,22266,17251,77.47687056498698
2036,tutvustama,,part,,,13381,10366,77.46805171511845
1292,ohjeldama,,part,,,208,161,77.40384615384616
488,elama,kaasa,all,,,1975,1528,77.36708860759494
2211,vastutama,,gen,eest,,11556,8930,77.27587400484597
2216,veenduma,,in,,,12003,9266,77.19736732483545
460,jooksma,järele,all,,,342,264,77.19298245614034
374,imiteerima,,part,,,419,323,77.08830548926015
61,arendama,,part,,,3818,2937,76.92509167103195
932,pookima,külge,all,,,26,20,76.92307692307693
2274,vähendama,,part,,,13241,10166,76.77667849860282
1862,süüdistama,,in,,,14263,10935,76.66690037159083
842,käitlema,,part,,,77,59,76.62337662337663
2018,tundma,,part,,,80338,61549,76.61256192586323
389,iseloomustama,,part,,,12386,9486,76.58646859357339
1465,portreteerima,,part,,,247,189,76.51821862348179
197,eristama,,part,,,2839,2169,76.40014089468123
1120,maskeeruma,,tr,,,207,158,76.32850241545893
518,kahandama,,part,,,1826,1393,76.28696604600219
1473,presenteerima,,part,,,118,90,76.27118644067797
1309,omistama,,all,,,697,531,76.18364418938307
894,saama,kõrini,ad,,,54,41,75.92592592592592
219,teavitama,ette,el,,,29,22,75.86206896551724
256,halvustama,,part,,,364,276,75.82417582417582
183,ennetama,,part,,,478,362,75.73221757322176
2101,umbusaldama,,part,,,257,194,75.4863813229572
1127,meeldima,,all,,,64834,48917,75.44960977265015
1298,olenema,,el,,,10015,7547,75.35696455317024
1595,rikkuma,,part,,,12423,9356,75.31192143604605
1578,rajanema,,ad,,,1148,864,75.26132404181185
1071,lävima,,kom,,,315,237,75.23809523809524
2256,saama,villand,ad,,,173,130,75.14450867052022
1346,otsima,,part,,,33053,24819,75.08849423652921
380,indikeerima,,part,,,8,6,75
467,vahtima,järele,all,,,20,15,75
1006,tükkima,ligi,all,,,8,6,75
1702,sidustama,,part,,,4,3,75
1815,sõbrutsema,,kom,,,4,3,75
2468,kuhjama,üle,kom,,,8,6,75
2084,tülitama,,part,,,618,463,74.91909385113269
453,jälgima,,part,,,14521,10867,74.83644377109015
49,analüüsima,,part,,,3179,2379,74.83485372758729
926,külastama,,part,,,12368,9252,74.80595084087969
1020,liituma,,kom,,,7207,5389,74.77452476758707
1666,seirama,,part,,,416,311,74.75961538461539
2000,tuhnima,,in,,,304,227,74.67105263157895
373,imetlema,,part,,,1933,1439,74.4438696326953
2501,töötama,üles,part,,,187,139,74.33155080213903
833,käendama,,part,,,101,75,74.25742574257426
571,kasvatama,,part,,,8353,6199,74.212857655932
360,ihaldama,,part,,,946,701,74.1014799154334
2281,heitma,välja,el,,,239,177,74.05857740585773
779,kritiseerima,,part,,,5200,3851,74.0576923076923
2081,tüdinema,,el,,,851,630,74.03055229142186
396,jagama,,part,,,22824,16895,74.0229582895198
1439,pilama,,part,,,173,128,73.98843930635837
2411,ärritama,,part,,,2029,1501,73.97732873336619
1896,takistama,,part,,,11596,8576,73.9565367368058
603,keskendama,,all,,,115,85,73.91304347826086
1455,poetiseerima,,part,,,23,17,73.91304347826086
503,kadestama,,part,,,810,598,73.82716049382717
1590,resoneeruma,,kom,,,19,14,73.68421052631578
1376,parandama,,part,,,8227,6059,73.64774522912361
1698,seostama,,part,,,2179,1603,73.56585589720055
2080,tüdima,,el,,,911,669,73.43578485181119
699,kohutama,,part,,,470,345,73.40425531914893
1573,jääma,rahule,kom,,,5301,3891,73.40124504810413
2231,vigastama,,part,,,3315,2433,73.39366515837104
1902,taluma,,part,,,3325,2439,73.35338345864662
972,saama,lahti,el,,,3507,2571,73.31052181351583
1417,pettuma,,in,,,3692,2705,73.26652221018418
267,hangeldama,,kom,,,48,35,72.91666666666666
1770,solvama,,part,,,2367,1725,72.87705956907477
2035,tutvuma,,kom,,,6809,4956,72.78601850491995
1635,samastama,,kom,,,418,304,72.72727272727273
614,kiirendama,,part,,,2184,1584,72.52747252747253
231,haakuma,,kom,,,1986,1440,72.50755287009063
624,kimbutama,,part,,,1563,1133,72.48880358285349
1958,tipnema,,kom,,,838,607,72.43436754176611
1846,sügama,,part,,,508,367,72.24409448818898
2484,sõitma,üle,el,,,536,387,72.20149253731343
1860,süüdistama,,part,,,14263,10275,72.03954287316834
1362,pakkuma,,part,,,67218,48356,71.93906394120623
1287,nõustama,,part,,,1336,961,71.9311377245509
1673,sekundeerima,,all,,,822,591,71.8978102189781
1407,peituma,,in,,,7446,5346,71.7969379532635
2108,usaldama,,part,,,7114,5100,71.68962608940119
979,laiendama,,part,,,2300,1647,71.60869565217392
1567,rahastama,,part,,,2799,2002,71.52554483744194
108,avaldama,,part,,,39908,28530,71.48942567906185
2426,õnnistama,,part,,,733,524,71.48703956343793
1901,taltsutama,,part,,,217,155,71.42857142857143
311,hooldama,,part,,,905,645,71.27071823204419
1881,tõukama,tagant,part,,,177,126,71.1864406779661
1580,ravima,,part,,,2647,1884,71.17491499811108
1791,suhestama,,kom,,,38,27,71.05263157894737
424,joobuma,,el,,,69,49,71.01449275362319
7,adresseerima,,all,,,117,83,70.94017094017094
1941,teotama,,part,,,113,80,70.79646017699115
