cnt,lemma
15,mehemürakas
15,maskott
15,maailmakodanik
15,loomakaitsja
15,looduslaps
15,lollpea
15,lits
15,lepingupool
15,lennujuht
15,lambakari
15,kummitus
15,kooliõde
15,kiibitseja
15,KGBlane
15,keeleteadlane
15,keelejuht
15,katsetaja
15,kaitsemängija
15,juubilar
15,juhtpoliitik
15,indialane
15,imemees
15,iluuisutaja
15,ilmataat
15,hertsog
15,gümnaasiumilõpetaja
15,eksportöör
15,ekskommunist
15,ateist
15,arvustaja
14,üllataja
14,ülik
14,üksiklane
14,äritegelane
14,vürst
14,välispartner
14,välisajakirjanik
14,väikevend
14,vägistaja
14,võmm
14,vutifänn
14,viibija
14,vanaonu
14,valmistaja
14,vallajuht
14,vahialune
14,uisutaja
14,tütretütar
14,töömesilane
14,tuumikinvestor
14,tuberkuloosihaige
14,tsirkuseartist
14,tigu
14,tervisesportlane
14,terapeut
14,teostaja
14,tantsupaar
14,südamehaige
14,sõudja
14,spordiajakirjanik
14,sookaaslane
14,skisofreenik
14,sideminister
14,seltsiline
14,saksofonist
14,saatan
14,rokkar
14,restauraator
14,reservohvitser
14,reisikaaslane
14,rahamees
14,põrsas
14,põlv
14,põdeja
14,publitsist
14,politseikonstaabel
14,pisitütar
